# total_molecules: 123007215
bit_position,count,fraction
0,79252346,0.64429022
1,65147377,0.52962240
2,38478756,0.31281707
3,12394147,0.10075951
4,85294536,0.69341084
5,66272950,0.53877287
6,35902546,0.29187350
7,11529440,0.09372979
8,22950070,0.18657499
9,12735024,0.10353071
10,5661395,0.04602490
11,2681248,0.02179749
12,13206623,0.10736462
13,6872363,0.05586959
14,2494264,0.02027738
15,962185,0.00782218
16,48453787,0.39391012
17,28164653,0.22896749
18,8472061,0.06887450
19,786138,0.00639099
20,10496687,0.08533391
21,3680729,0.02992287
22,823182,0.00669214
23,223668,0.00181833
24,20125439,0.16361186
25,10386239,0.08443601
26,4004250,0.03255297
27,1690445,0.01374265
28,27413606,0.22286177
29,11527627,0.09371505
30,2880789,0.02341968
31,1243709,0.01011086
32,52663359,0.42813228
33,34759679,0.28258244
34,15899397,0.12925581
35,5632993,0.04579400
36,30388483,0.24704635
37,15998777,0.13006373
38,6101436,0.04960226
39,1894611,0.01540244
40,27473390,0.22334779
41,17827372,0.14492948
42,9784325,0.07954269
43,3461109,0.02813745
44,84202664,0.68453435
45,61585749,0.50066778
46,32605150,0.26506697
47,12111010,0.09845772
48,16600247,0.13495344
49,5435766,0.04419063
50,1245512,0.01012552
51,300506,0.00244299
52,6237028,0.05070457
53,2680597,0.02179219
54,1172323,0.00953052
55,550615,0.00447628
56,17612109,0.14317948
57,7354460,0.05978885
58,2751750,0.02237064
59,1258215,0.01022879
60,14826389,0.12053268
61,5669580,0.04609144
62,2877394,0.02339208
63,1787313,0.01453015
64,60192590,0.48934195
65,35475829,0.28840446
66,11789918,0.09584737
67,2301095,0.01870699
68,51453194,0.41829411
69,34164916,0.27774725
70,11971248,0.09732151
71,2178783,0.01771264
72,45870827,0.37291168
73,29970040,0.24364457
74,10456999,0.08501127
75,1999987,0.01625910
76,34343843,0.27920186
77,16892983,0.13733327
78,5244113,0.04263256
79,1298130,0.01055328
80,8735951,0.07101983
81,3725874,0.03028988
82,1120405,0.00910845
83,342476,0.00278419
84,7047249,0.05729135
85,2971527,0.02415734
86,1029473,0.00836921
87,418438,0.00340174
88,6315487,0.05134241
89,3343993,0.02718534
90,1352978,0.01099918
91,489645,0.00398062
92,14715578,0.11963183
93,7151691,0.05814042
94,2504773,0.02036281
95,740300,0.00601835
96,40950283,0.33290960
97,21668318,0.17615485
98,7028627,0.05713996
99,1888788,0.01535510
100,61755973,0.50205163
101,40365471,0.32815531
102,15417846,0.12534099
103,3050490,0.02479928
104,55911726,0.45454022
105,31788008,0.25842393
106,11134416,0.09051840
107,2741881,0.02229041
108,45496842,0.36987133
109,23577475,0.19167555
110,7685839,0.06248283
111,2053420,0.01669349
112,44688292,0.36329814
113,21580445,0.17544048
114,4996469,0.04061932
115,1086361,0.00883169
116,45407890,0.36914818
117,22514453,0.18303360
118,6123392,0.04978075
119,1096639,0.00891524
120,10056882,0.08175847
121,1904365,0.01548173
122,353462,0.00287351
123,92144,0.00074909
