# total_molecules: 123007215
bit_position,count,fraction
0,25276817,0.20549052
1,25936695,0.21085507
2,31522950,0.25626911
3,26117583,0.21232562
4,25570061,0.20787448
5,28764943,0.23384761
6,26819287,0.21803019
7,30066534,0.24442903
8,34792952,0.28285294
9,26366008,0.21434522
10,24568626,0.19973321
11,26422839,0.21480723
12,30223299,0.24570347
13,28899070,0.23493801
14,30591797,0.24869921
15,23221329,0.18878022
16,25097883,0.20403586
17,24736162,0.20109521
18,36528379,0.29696127
19,27031984,0.21975934
20,26182840,0.21285613
21,25892546,0.21049616
22,24471290,0.19894191
23,35126030,0.28556073
24,28334443,0.23034781
25,26467400,0.21516949
26,25778685,0.20957051
27,29348550,0.23859210
28,29666848,0.24117974
29,30619068,0.24892091
30,29616633,0.24077151
31,33340597,0.27104587
32,26760709,0.21755398
33,37268418,0.30297750
34,32682875,0.26569885
35,27136237,0.22060687
36,33936263,0.27588839
37,27787388,0.22590047
38,30726780,0.24979657
39,24404461,0.19839861
40,29609466,0.24071325
41,25555151,0.20775327
42,28536555,0.23199090
43,27780008,0.22584048
44,25725553,0.20913857
45,28296435,0.23003882
46,27046775,0.21987958
47,31177187,0.25345820
48,24335291,0.19783629
49,30317630,0.24647034
50,34494928,0.28043012
51,32109628,0.26103857
52,26389500,0.21453620
53,37373233,0.30382960
54,26611457,0.21634062
55,24848993,0.20201248
56,30765005,0.25010732
57,33006497,0.26832976
58,25075290,0.20385219
59,28457515,0.23134834
60,27841806,0.22634287
61,31495630,0.25604701
62,26397926,0.21460470
63,27938322,0.22712751
64,24865740,0.20214863
65,23848831,0.19388156
66,24954380,0.20286924
67,26260628,0.21348852
68,28166188,0.22897997
69,31219346,0.25380093
70,27862345,0.22650984
71,31234872,0.25392715
72,29175716,0.23718703
73,38893780,0.31619105
74,30487097,0.24784804
75,24383399,0.19822739
76,29137635,0.23687745
77,29989521,0.24380294
78,26597765,0.21622931
79,29376641,0.23882047
80,27111618,0.22040673
81,25847539,0.21013027
82,26021046,0.21154081
83,25046029,0.20361431
84,28722006,0.23349855
85,32271879,0.26235761
86,26309203,0.21388341
87,28693647,0.23326800
88,28064707,0.22815497
89,28522928,0.23188012
90,27643786,0.22473305
91,24879405,0.20225972
92,25652376,0.20854367
93,28200400,0.22925810
94,27155041,0.22075974
95,31319133,0.25461216
96,25329909,0.20592214
97,33929473,0.27583319
98,32694047,0.26578967
99,27403286,0.22277788
100,27323673,0.22213065
101,24265804,0.19727139
102,26087002,0.21207701
103,24114950,0.19604500
104,29654502,0.24107937
105,28781436,0.23398169
106,26984503,0.21937334
107,28842980,0.23448202
108,32609086,0.26509897
109,27896951,0.22679118
110,24926670,0.20264397
111,26294374,0.21376286
112,24900814,0.20243377
113,28172649,0.22903249
114,30615483,0.24889177
115,30526989,0.24817235
116,27294141,0.22189057
117,30014547,0.24400639
118,28437739,0.23118757
119,31081849,0.25268314
120,30429520,0.24737996
121,39772914,0.32333806
122,29139175,0.23688997
123,28974976,0.23555509
124,28857185,0.23459750
125,24213051,0.19684253
126,24564434,0.19969913
127,26478192,0.21525723
128,26776159,0.21767958
129,26687609,0.21695970
130,26973786,0.21928621
131,27362459,0.22244597
132,28694623,0.23327593
133,29658482,0.24111173
134,27202716,0.22114732
135,27424023,0.22294646
136,30081904,0.24455398
137,26592489,0.21618642
138,40552724,0.32967760
139,29667053,0.24118141
140,25522463,0.20748753
141,29161785,0.23707378
142,26577326,0.21606315
143,27494927,0.22352288
144,25032600,0.20350514
145,30028224,0.24411758
146,27372628,0.22252864
147,30252517,0.24594100
148,26659211,0.21672884
149,27475970,0.22336877
150,25695376,0.20889324
151,30147748,0.24508927
152,34909404,0.28379965
153,24814424,0.20173145
154,33735805,0.27425875
155,27971586,0.22739793
156,28591430,0.23243702
157,28412567,0.23098293
158,34585513,0.28116654
159,27692098,0.22512580
160,26193709,0.21294449
161,31230159,0.25388884
162,33196279,0.26987262
163,25678762,0.20875818
164,28066081,0.22816614
165,25175300,0.20466523
166,25716826,0.20906762
167,25864117,0.21026504
168,26985914,0.21938481
169,23853751,0.19392156
170,29126230,0.23678473
171,25515165,0.20742820
172,26833562,0.21814624
173,34206904,0.27808860
174,29438241,0.23932125
175,29990129,0.24380789
176,24770926,0.20137783
177,27370413,0.22251063
178,28157567,0.22890988
179,32758663,0.26631497
180,25753284,0.20936401
181,24518477,0.19932552
182,27621011,0.22454789
183,26818111,0.21802063
184,27424116,0.22294721
185,32260614,0.26226603
186,26911189,0.21877732
187,27135344,0.22059961
188,29027415,0.23598140
189,24319860,0.19771084
190,36586475,0.29743357
191,26512994,0.21554015
192,25436101,0.20678544
193,28635330,0.23279391
194,24168822,0.19648296
195,26719429,0.21721839
196,25386256,0.20638022
197,27637193,0.22467945
198,31193969,0.25359463
199,26359771,0.21429451
200,24623220,0.20017704
201,29827855,0.24248866
202,29456606,0.23947055
203,25552534,0.20773199
204,28358418,0.23054272
205,32378859,0.26322732
206,28643449,0.23285991
207,27385261,0.22263134
208,27527009,0.22378369
209,26240002,0.21332084
210,27563940,0.22408393
211,25104522,0.20408983
212,25845079,0.21011027
213,29370416,0.23876986
214,56462693,0.45901936
215,27520470,0.22373053
216,27594059,0.22432878
217,26403201,0.21464758
218,35540775,0.28893244
219,28432773,0.23114720
220,24537043,0.19947645
221,28484351,0.23156651
222,26642221,0.21659072
223,29048883,0.23615593
224,41479724,0.33721375
225,26156358,0.21264084
226,28994242,0.23571172
227,32268095,0.26232685
228,26748175,0.21745208
229,25389648,0.20640779
230,27177106,0.22093912
231,30205754,0.24556083
232,30658750,0.24924351
233,36003085,0.29269084
234,27930690,0.22706546
235,27112845,0.22041670
236,25242890,0.20521471
237,31677344,0.25752428
238,27822083,0.22618253
239,34298334,0.27883189
240,28266732,0.22979735
241,26374059,0.21441067
242,30943102,0.25155518
243,26390892,0.21454751
244,27320383,0.22210391
245,25418996,0.20664638
246,27108800,0.22038382
247,26254569,0.21343926
248,30510972,0.24804213
249,27217188,0.22126497
250,30231522,0.24577032
251,32763615,0.26635523
252,27423628,0.22294325
253,27449393,0.22315271
254,29049095,0.23615765
255,25556728,0.20776609
256,31650789,0.25730839
257,32682175,0.26569315
258,25773341,0.20952707
259,24124848,0.19612547
260,24161408,0.19642269
261,27182290,0.22098127
262,30507791,0.24801627
263,25024391,0.20343840
264,27023133,0.21968738
265,27337221,0.22224079
266,29571606,0.24040546
267,25994397,0.21132417
268,26641535,0.21658514
269,26688853,0.21696982
270,34795267,0.28287176
271,25051180,0.20365618
272,24935801,0.20271820
273,32111426,0.26105319
274,25958613,0.21103326
275,27444134,0.22310995
276,28894270,0.23489899
277,25464049,0.20701265
278,31412960,0.25537494
279,27215198,0.22124879
280,27807893,0.22606717
281,25455285,0.20694140
282,24358866,0.19802794
283,26735314,0.21734753
284,46241481,0.37592495
285,28658604,0.23298311
286,28147403,0.22882725
287,35087570,0.28524806
288,35561144,0.28909803
289,27144217,0.22067175
290,28911583,0.23503973
291,33464046,0.27204946
292,29185069,0.23726307
293,28959252,0.23542726
294,30685363,0.24945986
295,30421716,0.24731652
296,27121936,0.22049061
297,32068623,0.26070522
298,25323430,0.20586947
299,27390892,0.22267712
300,26315705,0.21393627
301,28238381,0.22956687
302,30002515,0.24390858
303,27438766,0.22306631
304,29107291,0.23663076
305,25284208,0.20555061
306,25997108,0.21134620
307,42122674,0.34244068
308,27027165,0.21972016
309,27781059,0.22584902
310,31770932,0.25828511
311,24548148,0.19956673
312,30584665,0.24864123
313,34419643,0.27981808
314,29110637,0.23665796
315,31355756,0.25490989
316,32146319,0.26133686
317,25208510,0.20493521
318,28709183,0.23339430
319,22421258,0.18227596
320,26548571,0.21582938
321,28769020,0.23388075
322,27306890,0.22199421
323,30155048,0.24514861
324,29533506,0.24009572
325,28337533,0.23037293
326,26305871,0.21385633
327,27344234,0.22229781
328,31460572,0.25576201
329,26280802,0.21365252
330,27226222,0.22133841
331,25298124,0.20566374
332,29945259,0.24344311
333,28415364,0.23100567
334,26390906,0.21454763
335,31310487,0.25454187
336,31853697,0.25895796
337,30713181,0.24968601
338,27763537,0.22570657
339,28945959,0.23531920
340,27898859,0.22680669
341,28179576,0.22908881
342,27858461,0.22647827
343,28067449,0.22817726
344,24396609,0.19833478
345,35727556,0.29045090
346,30551627,0.24837264
347,28372217,0.23065490
348,32878391,0.26728831
349,28501194,0.23170343
350,25816558,0.20987840
351,31755857,0.25816256
352,30516049,0.24808341
353,25586145,0.20800524
354,25286431,0.20556868
355,32234152,0.26205090
356,28516335,0.23182652
357,24998164,0.20322518
358,25261983,0.20536993
359,29138993,0.23688849
360,25471916,0.20707660
361,27314209,0.22205371
362,35698920,0.29021810
363,28719076,0.23347473
364,33446837,0.27190955
365,28768793,0.23387891
366,26981844,0.21935172
367,31659375,0.25737820
368,27699954,0.22518967
369,25272212,0.20545309
370,25491928,0.20723929
371,29345456,0.23856695
372,29936812,0.24337444
373,27197161,0.22110216
374,24299159,0.19754255
375,50142614,0.40763962
376,27630574,0.22462564
377,25977807,0.21118929
378,26311432,0.21390153
379,27712110,0.22528849
380,31230307,0.25389004
381,28752050,0.23374279
382,25479524,0.20713845
383,29507208,0.23988193
384,26613377,0.21635623
385,25067796,0.20379127
386,25356327,0.20613691
387,24392717,0.19830314
388,27895005,0.22677536
389,24657752,0.20045777
390,29727682,0.24167430
391,32725337,0.26604404
392,26428346,0.21485200
393,25530536,0.20755316
394,44076174,0.35832186
395,37161743,0.30211027
396,23856437,0.19394340
397,41159310,0.33460891
398,26708988,0.21713351
399,27352671,0.22236640
400,27623052,0.22456449
401,28163440,0.22895763
402,29085145,0.23645072
403,26341273,0.21414413
404,27105926,0.22036046
405,27566810,0.22410726
406,27336629,0.22223598
407,32637449,0.26532955
408,26324362,0.21400665
409,29657035,0.24109996
410,30416271,0.24727225
411,29186049,0.23727103
412,26873973,0.21847477
413,29411656,0.23910513
414,38387754,0.31207725
415,34620829,0.28145364
416,34653411,0.28171852
417,28272628,0.22984528
418,27376383,0.22255916
419,26510416,0.21551920
420,24889271,0.20233993
421,31334212,0.25473475
422,29688646,0.24135695
423,30462910,0.24765141
424,26986586,0.21939027
425,24297275,0.19752723
426,27532450,0.22382793
427,25885230,0.21043668
428,28993988,0.23570965
429,25028125,0.20346876
430,25548551,0.20769961
431,30628500,0.24899759
432,26706580,0.21711393
433,24681288,0.20064911
434,35179694,0.28599700
435,30337112,0.24662872
436,26597728,0.21622901
437,25148013,0.20444340
438,27500914,0.22357155
439,35996693,0.29263887
440,29260655,0.23787755
441,26766770,0.21760325
442,27560335,0.22405462
443,29301970,0.23821343
444,31395675,0.25523442
445,28882629,0.23480435
446,25026482,0.20345540
447,25848428,0.21013749
448,23211069,0.18869681
449,29500290,0.23982569
450,23855620,0.19393675
451,31758519,0.25818420
452,29969806,0.24364267
453,26634393,0.21652708
454,27249177,0.22152503
455,31271224,0.25422268
456,29360830,0.23869193
457,39433467,0.32057849
458,27165786,0.22084709
459,24108969,0.19599638
460,29698495,0.24143702
461,28206007,0.22930368
462,24768559,0.20135859
463,25414337,0.20660851
464,26896332,0.21865654
465,25629796,0.20836010
466,26175951,0.21280013
467,27555312,0.22401379
468,26191902,0.21292980
469,23280230,0.18925906
470,27037508,0.21980424
471,26495793,0.21540032
472,27787073,0.22589791
473,30090646,0.24462505
474,24472410,0.19895101
475,29021827,0.23593597
476,34657744,0.28175375
477,25593652,0.20806627
478,27488174,0.22346798
479,27264587,0.22165031
480,27639759,0.22470031
481,29561940,0.24032688
482,24472669,0.19895312
483,32053309,0.26058072
484,34197400,0.27801133
485,35678422,0.29005146
486,25234326,0.20514509
487,27606176,0.22442729
488,30218934,0.24566798
489,25238790,0.20518138
490,27317956,0.22208418
491,29828317,0.24249242
492,27325175,0.22214286
493,25302361,0.20569819
494,29169582,0.23713716
495,27865375,0.22653448
496,27902813,0.22683883
497,32683770,0.26570612
498,28276417,0.22987608
499,27049689,0.21990327
500,25584990,0.20799585
501,24449125,0.19876171
502,24596601,0.19996064
503,29370084,0.23876716
504,30836859,0.25069147
505,25307094,0.20573666
506,27247468,0.22151114
507,27225631,0.22133361
508,29000172,0.23575993
509,25961165,0.21105400
510,31603901,0.25692721
511,30077941,0.24452176
512,29113372,0.23668020
513,30015525,0.24401435
514,27160169,0.22080143
515,30690399,0.24950080
516,26598601,0.21623610
517,28475576,0.23149517
518,36767031,0.29890142
519,32851689,0.26707124
520,30479645,0.24778746
521,33121466,0.26926442
522,29850196,0.24267029
523,29812066,0.24236030
524,30190811,0.24543935
525,33067819,0.26882829
526,29796933,0.24223728
527,25396910,0.20646683
528,30663341,0.24928083
529,30353406,0.24676118
530,24664250,0.20051060
531,25393075,0.20643566
532,30174941,0.24531033
533,25355992,0.20613418
534,29106453,0.23662395
535,29186313,0.23727318
536,25143668,0.20440807
537,27944497,0.22717771
538,29712199,0.24154842
539,27576203,0.22418362
540,25515581,0.20743158
541,25748884,0.20932824
542,28495978,0.23166103
543,29898666,0.24306433
544,26137604,0.21248838
545,38603398,0.31383036
546,27699349,0.22518475
547,32288582,0.26249340
548,25574874,0.20791361
549,26751437,0.21747860
550,26225149,0.21320009
551,26097008,0.21215835
552,26294015,0.21375994
553,29141389,0.23690797
554,24970227,0.20299807
555,29798409,0.24224928
556,23916212,0.19442934
557,30796149,0.25036051
558,26626296,0.21646125
559,30592695,0.24870651
560,25510225,0.20738804
561,30059255,0.24436985
562,32599790,0.26502340
563,30039644,0.24421042
564,25131486,0.20430904
565,24816369,0.20174726
566,30393317,0.24708564
567,26988056,0.21940222
568,26569360,0.21599839
569,26285516,0.21369085
570,30611671,0.24886078
571,28277664,0.22988622
572,34091648,0.27715161
573,25278248,0.20550216
574,28387854,0.23078202
575,26354581,0.21425232
576,25968330,0.21111225
577,26343081,0.21415883
578,24962297,0.20293360
579,31391730,0.25520235
580,26875423,0.21848656
581,26595917,0.21621428
582,25453312,0.20692536
583,28477940,0.23151439
584,28462700,0.23139049
585,28679670,0.23315437
586,32983748,0.26814482
587,26414812,0.21474197
588,39275716,0.31929603
589,31261652,0.25414486
590,25436337,0.20678736
591,30871261,0.25097114
592,27003496,0.21952774
593,32950412,0.26787382
594,31333950,0.25473262
595,26453109,0.21505331
596,29977957,0.24370893
597,28090477,0.22836447
598,30555360,0.24840299
599,28238733,0.22956973
600,25628518,0.20834971
601,26113950,0.21229608
602,28432137,0.23114203
603,28379008,0.23071011
604,26595825,0.21621354
605,26035338,0.21165700
606,25882906,0.21041779
607,23307242,0.18947866
608,25522784,0.20749014
609,32833291,0.26692167
610,28358729,0.23054525
611,36591921,0.29747784
612,26504056,0.21546749
613,25682552,0.20878899
614,27232431,0.22138889
615,28302728,0.23008998
616,31534789,0.25636536
617,36934233,0.30026070
618,27583294,0.22424127
619,27949916,0.22722176
620,28387594,0.23077991
621,24146659,0.19630279
622,29405500,0.23905508
623,27709224,0.22526503
624,39287335,0.31939049
625,29903740,0.24310558
626,32884928,0.26734146
627,23579431,0.19169145
628,30063904,0.24440765
629,30133753,0.24497549
630,30337014,0.24662792
631,25758754,0.20940848
632,28338912,0.23038414
633,26025630,0.21157808
634,28045967,0.22800262
635,29449874,0.23941583
636,28801820,0.23414740
637,26317616,0.21395181
638,24209634,0.19681475
639,26887659,0.21858603
640,24519220,0.19933156
641,26808031,0.21793869
642,27244032,0.22148320
643,29414816,0.23913082
644,24657053,0.20045209
645,25257273,0.20533164
646,23736205,0.19296596
647,28671807,0.23309045
648,26619832,0.21640870
649,28526553,0.23190959
650,34613575,0.28139467
651,28317052,0.23020643
652,23955074,0.19474528
653,29182240,0.23724007
654,29044000,0.23611623
655,33965072,0.27612260
656,24101777,0.19593791
657,38855849,0.31588268
658,36320042,0.29526757
659,29261573,0.23788501
660,27347302,0.22232275
661,34931282,0.28397750
662,27365844,0.22247349
663,26439214,0.21494035
664,23734671,0.19295349
665,24571463,0.19975627
666,27349350,0.22233940
667,25758616,0.20940736
668,27179084,0.22095520
669,27444855,0.22311581
670,41662594,0.33870041
671,34970828,0.28429900
672,25343659,0.20603392
673,28099471,0.22843758
674,25300863,0.20568601
675,31375296,0.25506875
676,31445038,0.25563572
677,24350110,0.19795676
678,24420369,0.19852794
679,29806085,0.24231168
680,30258913,0.24599299
681,29243894,0.23774129
682,28923078,0.23513318
683,24643723,0.20034372
684,31763897,0.25822792
685,33498503,0.27232958
686,29811484,0.24235557
687,38400542,0.31218122
688,29220641,0.23755225
689,25694697,0.20888772
690,25442639,0.20683859
691,25779231,0.20957495
692,31412743,0.25537317
693,28614096,0.23262128
694,27937122,0.22711775
695,26710862,0.21714874
696,28301743,0.23008198
697,29498031,0.23980732
698,27838161,0.22631324
699,27022072,0.21967876
700,32104550,0.26099729
701,28572709,0.23228482
702,32839186,0.26696959
703,69920037,0.56842224
704,38380042,0.31201456
