# total_molecules: 123007215
bit_i,bit_j,count,fraction,expected_fraction,pmi
905,1721,72196,0.00058692,0.00000447,7.036819
1229,2012,138434,0.00112541,0.00000897,6.971380
1409,3197,561811,0.00456730,0.00003678,6.956254
18,3728,240012,0.00195120,0.00001599,6.930622
125,1793,125411,0.00101954,0.00000852,6.902567
50,2201,126897,0.00103162,0.00000869,6.891635
1003,3298,293083,0.00238265,0.00002028,6.876235
709,1042,31917,0.00025947,0.00000221,6.874008
330,779,186602,0.00151700,0.00001297,6.869904
299,568,71138,0.00057832,0.00000501,6.851321
1064,1578,353300,0.00287219,0.00002508,6.839322
299,573,72980,0.00059330,0.00000527,6.815833
396,3054,175473,0.00142653,0.00001281,6.799090
315,589,102429,0.00083271,0.00000750,6.794022
397,3633,90144,0.00073284,0.00000666,6.780776
976,3580,199910,0.00162519,0.00001479,6.780102
3939,3990,190480,0.00154853,0.00001433,6.755323
1125,3913,89415,0.00072691,0.00000692,6.714726
1284,1927,68560,0.00055737,0.00000533,6.709552
568,573,70520,0.00057330,0.00000556,6.687036
913,2462,342797,0.00278680,0.00002735,6.670691
2501,3510,85540,0.00069541,0.00000683,6.669518
769,1358,141281,0.00114856,0.00001129,6.668842
1402,3602,549907,0.00447053,0.00004403,6.665844
1793,2022,129427,0.00105219,0.00001051,6.645030
397,2997,267468,0.00217441,0.00002191,6.633146
184,2665,159448,0.00129625,0.00001314,6.624213
337,3009,40396,0.00032840,0.00000337,6.607073
2541,3402,22533,0.00018318,0.00000188,6.606595
2753,3455,97216,0.00079033,0.00000815,6.598821
1064,2513,354610,0.00288284,0.00002975,6.598647
299,579,73324,0.00059610,0.00000616,6.597329
2923,3161,31856,0.00025898,0.00000268,6.593882
621,3114,256838,0.00208799,0.00002162,6.593383
50,1200,226809,0.00184387,0.00001919,6.586525
2100,3140,89168,0.00072490,0.00000754,6.586479
1100,1320,269614,0.00219186,0.00002289,6.581053
1441,3599,164548,0.00133771,0.00001401,6.577638
17,2707,36495,0.00029669,0.00000312,6.571216
579,913,151074,0.00122817,0.00001292,6.571160
2185,3783,86412,0.00070250,0.00000740,6.567905
1202,3981,133052,0.00108166,0.00001142,6.566077
1297,3424,251023,0.00204072,0.00002163,6.560173
3424,3438,244778,0.00198995,0.00002132,6.544561
330,3234,174400,0.00141780,0.00001519,6.544340
1820,2665,331396,0.00269412,0.00002900,6.537795
1512,1793,129365,0.00105169,0.00001134,6.534804
2677,3479,108593,0.00088282,0.00000953,6.533588
1125,1315,29811,0.00024235,0.00000263,6.527221
2188,3752,142045,0.00115477,0.00001255,6.523332
3825,3853,231193,0.00187951,0.00002049,6.519256
1420,3298,290119,0.00235855,0.00002575,6.517381
991,2069,112974,0.00091843,0.00001005,6.514480
1720,3766,85468,0.00069482,0.00000761,6.513159
2037,2129,255210,0.00207476,0.00002278,6.508802
2138,2588,137940,0.00112140,0.00001237,6.502119
636,2308,184905,0.00150320,0.00001670,6.491964
2319,3613,171274,0.00139239,0.00001550,6.489519
1578,2513,353717,0.00287558,0.00003203,6.488398
2149,2433,64981,0.00052827,0.00000589,6.487636
3463,3792,216218,0.00175777,0.00001968,6.480972
1078,3951,34666,0.00028182,0.00000316,6.480437
2575,2890,388066,0.00315482,0.00003541,6.477132
1770,3329,152325,0.00123834,0.00001392,6.474980
238,3523,224577,0.00182572,0.00002057,6.471889
1244,1451,60524,0.00049204,0.00000554,6.471451
1766,3690,103122,0.00083834,0.00000945,6.470610
2196,3686,307709,0.00250155,0.00002839,6.461426
568,579,70149,0.00057028,0.00000650,6.454138
125,2022,125276,0.00101844,0.00001166,6.448709
1821,2247,156670,0.00127367,0.00001464,6.442694
1297,3438,244755,0.00198976,0.00002290,6.441353
2535,2788,281992,0.00229248,0.00002650,6.434804
