# total_molecules: 123007215
bit_position,count,fraction
0,78436810,0.63766024
1,64396484,0.52351794
2,37651700,0.30609343
3,11795050,0.09588909
4,81010248,0.65858127
5,60874382,0.49488465
6,29604569,0.24067344
7,6903197,0.05612026
8,6065603,0.04931095
9,1499654,0.01219159
10,358815,0.00291702
11,121748,0.00098976
12,5413786,0.04401194
13,1927030,0.01566599
14,232423,0.00188951
15,46455,0.00037766
16,47594042,0.38692073
17,27640179,0.22470372
18,8185264,0.06654296
19,703239,0.00571705
20,9502038,0.07724781
21,3335913,0.02711965
22,761294,0.00618902
23,211849,0.00172225
24,15121209,0.12292945
25,7392762,0.06010023
26,2509064,0.02039770
27,923053,0.00750406
28,16050943,0.13048782
29,7484856,0.06084892
30,2160403,0.01756322
31,997894,0.00811248
32,45122110,0.36682491
33,30829241,0.25062953
34,14952996,0.12156194
35,5438228,0.04421064
36,26584056,0.21611786
37,14766257,0.12004383
38,5788330,0.04705683
39,1783262,0.01449721
40,4063862,0.03303759
41,632454,0.00514160
42,167710,0.00136342
43,58301,0.00047396
44,81912789,0.66591857
45,56761021,0.46144465
46,25117542,0.20419568
47,7464628,0.06068447
48,7465870,0.06069457
49,2428205,0.01974035
50,292514,0.00237802
51,59813,0.00048626
52,5234457,0.04255406
53,2324408,0.01889652
54,1081137,0.00878922
55,517993,0.00421108
56,9390806,0.07634354
57,3663945,0.02978642
58,1447419,0.01176694
59,706325,0.00574214
60,7207738,0.05859606
61,3617536,0.02940914
62,2243936,0.01824231
63,1526083,0.01240645
64,58012942,0.47162227
65,33723244,0.27415663
66,10894377,0.08856698
67,2102433,0.01709195
68,43051469,0.34999141
69,28150395,0.22885158
70,9113883,0.07409226
71,1385354,0.01126238
72,9078664,0.07380595
73,1843356,0.01498576
74,224520,0.00182526
75,29861,0.00024276
76,23754937,0.19311824
77,8215535,0.06678905
78,1837038,0.01493439
79,332766,0.00270526
80,2409992,0.01959228
81,571207,0.00464369
82,65111,0.00052933
83,7608,0.00006185
84,1415439,0.01150696
85,498453,0.00405223
86,155725,0.00126598
87,41563,0.00033789
88,4354912,0.03540371
89,2686975,0.02184404
90,1010655,0.00821623
91,323213,0.00262759
92,10834560,0.08808069
93,5447243,0.04428393
94,2024331,0.01645701
95,649895,0.00528339
96,34476043,0.28027659
97,17730375,0.14414094
