# total_molecules: 123007215
bit_i,bit_j,count,fraction,expected_fraction,pmi
184,579,1740843,0.01415236,0.00186234,2.925858
141,539,401783,0.00326634,0.00042989,2.925635
437,645,434487,0.00353221,0.00046490,2.925583
105,529,236469,0.00192240,0.00025312,2.925014
368,618,315433,0.00256435,0.00033778,2.924419
18,589,3612428,0.02936761,0.00387023,2.923733
179,803,346635,0.00281801,0.00037138,2.923706
253,696,120238,0.00097749,0.00012890,2.922783
148,469,377990,0.00307291,0.00040533,2.922452
323,471,910169,0.00739931,0.00097776,2.919832
241,543,1682296,0.01367640,0.00180727,2.919808
691,906,606838,0.00493335,0.00065220,2.919184
437,562,1342571,0.01091457,0.00144578,2.916340
336,414,235419,0.00191386,0.00025366,2.915526
11,505,626452,0.00509281,0.00067503,2.915439
101,468,296444,0.00240997,0.00031952,2.915036
125,731,568727,0.00462353,0.00061330,2.914339
125,385,599148,0.00487084,0.00064654,2.913360
45,239,1100334,0.00894528,0.00118972,2.910501
125,194,713007,0.00579646,0.00077096,2.910454
131,448,1546198,0.01256998,0.00167273,2.909705
609,668,573545,0.00466269,0.00062063,2.909351
427,894,312137,0.00253755,0.00033778,2.909294
91,343,320770,0.00260773,0.00034727,2.908652
364,913,510994,0.00415418,0.00055364,2.907552
62,830,2119253,0.01722869,0.00229630,2.907428
815,922,1023653,0.00832189,0.00110979,2.906622
11,738,1075260,0.00874144,0.00116601,2.906296
368,580,968720,0.00787531,0.00105167,2.904650
753,785,2025193,0.01646402,0.00220042,2.903468
330,837,335165,0.00272476,0.00036476,2.901092
55,722,254077,0.00206555,0.00027658,2.900731
112,790,3666345,0.02980593,0.00399266,2.900177
57,396,315818,0.00256748,0.00034398,2.899948
112,360,3661070,0.02976305,0.00398930,2.899313
316,331,184340,0.00149861,0.00020096,2.898665
86,263,480851,0.00390913,0.00052424,2.898558
73,289,2860254,0.02325273,0.00311861,2.898424
110,731,495858,0.00403113,0.00054098,2.897546
152,454,192673,0.00156636,0.00021022,2.897409
194,375,694807,0.00564851,0.00075865,2.896354
582,947,483995,0.00393469,0.00052946,2.893656
27,811,486416,0.00395437,0.00053244,2.892768
420,731,950437,0.00772668,0.00104277,2.889424
453,478,286400,0.00232832,0.00031452,2.888059
497,618,518936,0.00421874,0.00057070,2.886012
229,435,422916,0.00343814,0.00046636,2.882127
468,918,361117,0.00293574,0.00039821,2.882112
125,243,785375,0.00638479,0.00086609,2.882058
69,375,869502,0.00706871,0.00095926,2.881454
750,941,289936,0.00235706,0.00032031,2.879469
248,821,681092,0.00553701,0.00075267,2.879017
621,940,1837532,0.01493841,0.00203329,2.877136
142,579,876903,0.00712887,0.00097211,2.874481
625,909,997152,0.00810645,0.00110561,2.874222
129,724,565503,0.00459732,0.00062730,2.873575
506,563,502786,0.00408745,0.00055887,2.870623
133,607,2304010,0.01873069,0.00256286,2.869579
243,540,2481110,0.02017044,0.00276563,2.866561
474,902,1357168,0.01103324,0.00151299,2.866384
341,557,3029835,0.02463136,0.00337868,2.865963
867,963,137460,0.00111750,0.00015332,2.865618
171,715,4143339,0.03368371,0.00462220,2.865398
273,863,537463,0.00436936,0.00059986,2.864721
453,531,456035,0.00370738,0.00050916,2.864203
728,766,1815728,0.01476115,0.00202807,2.863624
864,895,619644,0.00503746,0.00069215,2.863547
598,780,680403,0.00553141,0.00076131,2.861087
350,452,11670846,0.09487936,0.01306438,2.860456
715,838,4370812,0.03553297,0.00489720,2.859128
806,855,1836019,0.01492611,0.00205894,2.857866
110,332,594267,0.00483116,0.00066780,2.854881
235,1013,2321947,0.01887651,0.00261100,2.853916
152,577,356195,0.00289572,0.00040060,2.853693
210,820,590895,0.00480374,0.00066491,2.852932
375,417,836580,0.00680106,0.00094198,2.851986
236,993,664535,0.00540241,0.00074852,2.851498
328,806,731399,0.00594598,0.00082491,2.849601
366,666,2086101,0.01695918,0.00235310,2.849432
284,305,2389701,0.01942732,0.00269666,2.848842
332,416,1200164,0.00975686,0.00135444,2.848721
243,677,902537,0.00733727,0.00101964,2.847184
396,1003,316195,0.00257054,0.00035733,2.846755
589,810,2717871,0.02209522,0.00307192,2.846521
16,529,143704,0.00116826,0.00016247,2.846126
165,592,1190785,0.00968061,0.00134659,2.845782
937,1002,274782,0.00223387,0.00031085,2.845257
580,784,2338452,0.01901069,0.00264798,2.843845
660,837,341409,0.00277552,0.00038668,2.843542
135,538,211529,0.00171965,0.00023970,2.842786
109,618,220707,0.00179426,0.00025078,2.838880
401,595,590547,0.00480091,0.00067108,2.838754
393,809,2209422,0.01796173,0.00251128,2.838431
299,492,557404,0.00453147,0.00063481,2.835587
30,453,276393,0.00224697,0.00031571,2.831293
274,758,166414,0.00135288,0.00019020,2.830459
274,306,145488,0.00118276,0.00016638,2.829634
705,866,231812,0.00188454,0.00026541,2.827908
420,595,671562,0.00545953,0.00076948,2.826828
134,797,269113,0.00218778,0.00030861,2.825606
978,1008,518407,0.00421444,0.00059453,2.825527
930,951,361354,0.00293767,0.00041442,2.825513
719,804,280062,0.00227679,0.00032129,2.825074
71,577,355097,0.00288680,0.00040770,2.823874
110,991,323034,0.00262614,0.00037117,2.822795
329,491,525953,0.00427579,0.00060440,2.822621
753,916,1065760,0.00866421,0.00122520,2.822051
41,251,1043550,0.00848365,0.00120007,2.821566
505,836,505740,0.00411147,0.00058164,2.821445
192,692,1000425,0.00813306,0.00115197,2.819698
543,552,2612095,0.02123530,0.00300887,2.819169
553,1018,316724,0.00257484,0.00036485,2.819090
14,383,1673680,0.01360636,0.00192824,2.818927
498,809,1105450,0.00898687,0.00127614,2.816031
315,393,999681,0.00812701,0.00115469,2.815215
11,776,696887,0.00566542,0.00080560,2.814046
71,700,547123,0.00444789,0.00063252,2.813949
174,990,175797,0.00142916,0.00020328,2.813640
423,967,2718376,0.02209932,0.00314353,2.813545
420,794,4010516,0.03260391,0.00463891,2.813187
629,895,588625,0.00478529,0.00068133,2.812179
267,478,226187,0.00183881,0.00026183,2.812076
239,292,267781,0.00217695,0.00031023,2.810908
129,131,492424,0.00400321,0.00057058,2.810662
299,610,824346,0.00670161,0.00095569,2.809895
485,766,499474,0.00406053,0.00058029,2.806820
25,801,2955593,0.02402780,0.00343940,2.804477
668,969,745831,0.00606331,0.00086859,2.803360
210,610,725240,0.00589591,0.00084764,2.798188
376,722,229388,0.00186483,0.00026815,2.797935
332,420,1100365,0.00894553,0.00128723,2.796895
843,901,965661,0.00785044,0.00113009,2.796338
262,429,1274016,0.01035725,0.00149263,2.794707
127,443,221298,0.00179907,0.00025927,2.794693
299,438,190057,0.00154509,0.00022293,2.793030
686,763,116504,0.00094713,0.00013674,2.792158
202,830,2507148,0.02038212,0.00294386,2.791522
172,724,654234,0.00531866,0.00076821,2.791498
187,436,221820,0.00180331,0.00026051,2.791242
210,869,245681,0.00199729,0.00028874,2.790222
880,1020,251125,0.00204155,0.00029521,2.789869
54,468,288995,0.00234942,0.00033988,2.789209
375,420,989145,0.00804136,0.00116418,2.788121
565,942,828580,0.00673603,0.00097547,2.787730
468,755,817821,0.00664856,0.00096302,2.787405
401,991,529743,0.00430660,0.00062397,2.787011
162,885,1853149,0.01506537,0.00218359,2.786465
242,531,892269,0.00725379,0.00105156,2.786209
906,936,429656,0.00349293,0.00050658,2.785578
610,897,1568615,0.01275222,0.00185020,2.784998
496,687,467989,0.00380457,0.00055298,2.782443
299,489,560768,0.00455882,0.00066285,2.781907
72,960,2385481,0.01939302,0.00282070,2.781413
740,923,194953,0.00158489,0.00023068,2.780397
10,13,2503945,0.02035608,0.00296851,2.777649
372,541,690796,0.00561590,0.00081899,2.777604
196,383,495884,0.00403134,0.00058823,2.776811
12,539,434697,0.00353391,0.00051588,2.776162
10,477,677621,0.00550879,0.00080512,2.774462
417,950,2276896,0.01851026,0.00270615,2.774010
305,930,905042,0.00735763,0.00107569,2.773983
269,324,2159200,0.01755344,0.00256655,2.773850
785,838,2105932,0.01712039,0.00250390,2.773466
112,674,3706187,0.03012983,0.00440911,2.772632
349,439,206266,0.00167686,0.00024540,2.772527
57,833,607343,0.00493746,0.00072274,2.772225
102,930,1250032,0.01016227,0.00148758,2.772185
148,265,318625,0.00259030,0.00037919,2.772139
422,899,888280,0.00722137,0.00105790,2.771070
719,848,194745,0.00158320,0.00023204,2.770367
45,969,1498302,0.01218060,0.00178926,2.767149
168,278,589589,0.00479313,0.00070420,2.766913
376,518,302042,0.00245548,0.00036084,2.766555
164,716,461846,0.00375463,0.00055194,2.766082
171,785,1977268,0.01607441,0.00236330,2.765893
125,677,685290,0.00557114,0.00081917,2.765741
468,857,368764,0.00299791,0.00044088,2.765497
529,696,96377,0.00078351,0.00011541,2.763238
295,951,439751,0.00357500,0.00052676,2.762730
199,797,182135,0.00148069,0.00021829,2.761961
292,609,277377,0.00225497,0.00033337,2.757896
71,529,167130,0.00135870,0.00020101,2.756923
202,810,1376033,0.01118660,0.00165581,2.756163
373,544,189166,0.00153784,0.00022795,2.754125
284,470,1294466,0.01052350,0.00156067,2.753381
125,332,627343,0.00510005,0.00075707,2.752008
435,548,320830,0.00260822,0.00038720,2.751907
11,441,1577602,0.01282528,0.00190419,2.751743
151,635,321214,0.00261134,0.00038792,2.750962
545,610,795171,0.00646443,0.00096045,2.750734
170,923,170127,0.00138307,0.00020591,2.747755
524,964,273967,0.00222724,0.00033199,2.746062
419,915,931307,0.00757116,0.00112860,2.745984
6,18,377956,0.00307263,0.00045818,2.745481
324,711,650979,0.00529220,0.00078918,2.745447
273,281,568656,0.00462295,0.00068956,2.745067
354,753,1830824,0.01488387,0.00222037,2.744877
205,396,209885,0.00170628,0.00025459,2.744582
505,950,1016868,0.00826673,0.00123462,2.743250
319,715,4056339,0.03297643,0.00492659,2.742773
364,476,189093,0.00153725,0.00023003,2.740477
56,649,308763,0.00251012,0.00037566,2.740264
942,985,1693616,0.01376843,0.00206102,2.739937
740,953,578376,0.00470197,0.00070436,2.738874
719,965,182096,0.00148037,0.00022178,2.738765
610,740,911853,0.00741300,0.00111099,2.738217
210,357,287644,0.00233843,0.00035065,2.737438
125,417,784586,0.00637837,0.00095726,2.736210
133,728,2321873,0.01887591,0.00283293,2.736177
493,981,690795,0.00561589,0.00084357,2.734928
231,550,2879476,0.02340900,0.00351934,2.733688
209,787,1772457,0.01440937,0.00216762,2.732821
199,814,269065,0.00218739,0.00032928,2.731839
222,473,2095383,0.01703463,0.00256452,2.731712
69,729,683497,0.00555656,0.00083710,2.730720
72,187,544152,0.00442374,0.00066747,2.728490
76,783,307055,0.00249624,0.00037670,2.728265
34,930,530287,0.00431102,0.00065070,2.727959
78,874,362205,0.00294458,0.00044449,2.727833
480,618,653940,0.00531627,0.00080254,2.727777
401,775,1340556,0.01089819,0.00164540,2.727582
565,985,2733746,0.02222427,0.00335541,2.727577
234,321,105863,0.00086062,0.00012999,2.727035
317,548,354049,0.00287828,0.00043477,2.726868
237,581,1307400,0.01062864,0.00160584,2.726554
332,729,529270,0.00430276,0.00065012,2.726482
135,690,464503,0.00377623,0.00057074,2.726042
44,388,104940,0.00085312,0.00012903,2.725036
676,737,288590,0.00234612,0.00035521,2.723517
677,731,586412,0.00476730,0.00072203,2.723039
383,543,1705040,0.01386130,0.00210004,2.722571
247,304,257751,0.00209541,0.00031772,2.721414
522,622,278094,0.00226079,0.00034280,2.721376
7,529,154946,0.00125965,0.00019102,2.721205
505,615,149924,0.00121882,0.00018491,2.720616
412,555,314575,0.00255737,0.00038815,2.719957
396,1006,195040,0.00158560,0.00024078,2.719254
246,502,968905,0.00787681,0.00119668,2.718570
154,571,272885,0.00221845,0.00033706,2.718476
19,842,3326091,0.02703980,0.00411088,2.717564
643,692,431484,0.00350779,0.00053352,2.716956
261,357,557488,0.00453216,0.00068985,2.715841
643,793,162831,0.00132375,0.00020158,2.715189
274,558,358271,0.00291260,0.00044382,2.714258
141,563,256927,0.00208871,0.00031837,2.713822
417,729,663354,0.00539281,0.00082202,2.713782
480,985,2822187,0.02294326,0.00350029,2.712523
489,786,1678584,0.01364622,0.00208268,2.711990
