# total_molecules: 123007215
bit_i,bit_j,count,fraction,expected_fraction,pmi
776,839,856652,0.00696424,0.00035186,4.306880
595,991,630556,0.00512617,0.00027369,4.227290
753,939,4264141,0.03466578,0.00227207,3.931433
519,529,503055,0.00408964,0.00027349,3.902434
262,419,1215243,0.00987944,0.00066072,3.902325
126,943,1628003,0.01323502,0.00089483,3.886598
78,889,430741,0.00350175,0.00023902,3.872885
170,187,520196,0.00422899,0.00028975,3.867448
729,991,642153,0.00522045,0.00036134,3.852734
228,593,569364,0.00462870,0.00032643,3.825743
125,595,779276,0.00633521,0.00045256,3.807211
236,393,2152262,0.01749704,0.00125668,3.799425
332,731,1131699,0.00920027,0.00066730,3.785271
248,518,2405652,0.01955700,0.00142216,3.781530
236,498,1067826,0.00868100,0.00063860,3.764884
375,595,744524,0.00605269,0.00044534,3.764599
109,368,379832,0.00308788,0.00022730,3.763938
838,939,4281424,0.03480628,0.00258544,3.750867
210,740,631616,0.00513479,0.00038281,3.745612
171,939,4022619,0.03270230,0.00244025,3.744289
107,1018,905273,0.00735951,0.00055431,3.730845
79,857,1705002,0.01386099,0.00104961,3.723110
152,662,550896,0.00447857,0.00034074,3.716298
595,729,625772,0.00508728,0.00038863,3.710438
480,942,1635262,0.01329403,0.00101759,3.707551
181,345,1127491,0.00916606,0.00070220,3.706345
125,991,670748,0.00545292,0.00042079,3.695863
766,909,1693963,0.01377125,0.00106315,3.695236
436,956,1367308,0.01111567,0.00086632,3.681544
738,839,790607,0.00642732,0.00050928,3.657693
375,991,639463,0.00519858,0.00041407,3.650158
45,261,2729385,0.02218882,0.00176916,3.648697
19,437,1310271,0.01065198,0.00085071,3.646319
133,909,2258675,0.01836213,0.00148508,3.628123
55,803,333337,0.00270990,0.00021971,3.624542
210,299,498596,0.00405339,0.00032930,3.621665
617,796,354226,0.00287972,0.00023461,3.617607
41,901,967042,0.00786167,0.00064123,3.615926
50,176,251916,0.00204798,0.00016819,3.606000
397,949,290014,0.00235770,0.00019564,3.591108
209,474,1341188,0.01090333,0.00090997,3.582808
55,179,320440,0.00260505,0.00021768,3.581040
810,830,2655431,0.02158760,0.00180421,3.580768
207,469,1114372,0.00905940,0.00075768,3.579751
372,634,1477010,0.01200751,0.00101092,3.570189
539,563,1135681,0.00923264,0.00078363,3.558504
420,591,3957235,0.03217076,0.00274696,3.549840
453,529,332940,0.00270667,0.00023263,3.540380
208,844,522822,0.00425034,0.00036556,3.539379
171,753,4031792,0.03277687,0.00283442,3.531555
753,838,4268829,0.03470389,0.00300305,3.530596
129,172,450009,0.00365840,0.00031766,3.525661
529,622,350576,0.00285004,0.00024824,3.521160
243,375,1200254,0.00975759,0.00085227,3.517148
738,776,788899,0.00641344,0.00056508,3.504579
76,870,375949,0.00305632,0.00026985,3.501538
491,500,744077,0.00604905,0.00053698,3.493775
192,814,936510,0.00761346,0.00067684,3.491672
239,609,756069,0.00614654,0.00054936,3.483958
889,943,439209,0.00357060,0.00031954,3.482101
340,468,332570,0.00270366,0.00024220,3.480664
194,595,687376,0.00558809,0.00050144,3.478210
595,731,545759,0.00443680,0.00039890,3.475439
332,401,1529164,0.01243150,0.00112263,3.469051
342,621,3136705,0.02550017,0.00230697,3.466434
196,232,480319,0.00390480,0.00035412,3.462952
634,865,841269,0.00683918,0.00062048,3.462377
16,372,677520,0.00550797,0.00050087,3.459012
274,436,355683,0.00289156,0.00026355,3.455684
239,969,1037355,0.00843329,0.00076884,3.455345
101,460,465438,0.00378383,0.00034499,3.455240
299,897,969473,0.00788143,0.00071878,3.454843
194,991,628028,0.00510562,0.00046624,3.452955
417,523,2243661,0.01824008,0.00167438,3.445410
311,546,374342,0.00304325,0.00027971,3.443590
170,1008,464862,0.00377914,0.00034754,3.442815
444,821,560538,0.00455695,0.00041933,3.441909
49,176,273513,0.00222355,0.00020514,3.438196
78,943,640169,0.00520432,0.00048812,3.414397
133,766,1237642,0.01006154,0.00094481,3.412680
243,595,737563,0.00599610,0.00056331,3.412015
607,728,7177602,0.05835107,0.00550127,3.406924
677,991,645796,0.00525007,0.00049539,3.405693
441,505,1006451,0.00818205,0.00077325,3.403457
731,991,479730,0.00390002,0.00037089,3.394414
18,127,1224002,0.00995065,0.00094708,3.393228
53,792,2701712,0.02196385,0.00209188,3.392262
719,789,411630,0.00334639,0.00031929,3.389669
241,383,1661392,0.01350646,0.00128885,3.389498
382,758,236729,0.00192451,0.00018428,3.384533
360,790,5985114,0.04865661,0.00467030,3.381049
187,1008,322469,0.00262155,0.00025189,3.379571
470,649,884432,0.00719008,0.00069148,3.378250
299,740,551537,0.00448378,0.00043160,3.376937
228,346,293828,0.00238871,0.00022996,3.376748
69,595,807334,0.00656331,0.00063403,3.371798
320,810,829081,0.00674010,0.00065115,3.371711
243,991,664906,0.00540542,0.00052377,3.367415
620,957,238482,0.00193876,0.00018854,3.362209
263,713,1290150,0.01048841,0.00102348,3.357245
401,731,1146283,0.00931883,0.00090943,3.357120
414,628,439629,0.00357401,0.00035007,3.351817
191,843,5400023,0.04390005,0.00430200,3.351144
171,838,4047371,0.03290353,0.00322534,3.350717
372,865,1011396,0.00822225,0.00080626,3.350209
745,1018,2328291,0.01892808,0.00185977,3.347331
417,595,778412,0.00632818,0.00062261,3.345385
299,357,492083,0.00400044,0.00039535,3.338971
328,364,440789,0.00358344,0.00035447,3.337596
3,371,2158308,0.01754619,0.00173785,3.335786
368,784,955578,0.00776847,0.00077087,3.333080
236,809,2182533,0.01774313,0.00176190,3.332053
354,716,1783160,0.01449639,0.00144300,3.328546
346,593,658021,0.00534945,0.00053451,3.323104
393,498,1115730,0.00907044,0.00091021,3.316908
375,677,987774,0.00803021,0.00080610,3.316412
393,993,1301661,0.01058199,0.00106688,3.310147
521,660,278856,0.00226699,0.00022869,3.309316
239,261,918975,0.00747090,0.00076020,3.296834
716,939,1784418,0.01450661,0.00147660,3.296358
595,677,643688,0.00523293,0.00053280,3.295960
375,729,708999,0.00576388,0.00058797,3.293217
474,787,1380956,0.01122663,0.00114584,3.292446
498,993,651857,0.00529934,0.00054215,3.289057
453,519,551692,0.00448504,0.00046031,3.284440
343,528,901889,0.00733200,0.00075543,3.278831
232,644,383100,0.00311445,0.00032108,3.277982
53,901,871853,0.00708782,0.00073283,3.273789
315,532,540415,0.00439336,0.00045692,3.265298
375,731,713180,0.00579787,0.00060351,3.264073
156,951,255047,0.00207343,0.00021588,3.263698
299,953,715801,0.00581918,0.00060590,3.263654
328,913,680023,0.00552832,0.00057562,3.263647
607,909,3391700,0.02757318,0.00288387,3.257189
496,707,710353,0.00577489,0.00060749,3.248867
332,595,574155,0.00466765,0.00049241,3.244767
555,664,517539,0.00420739,0.00044389,3.244662
868,987,452435,0.00367812,0.00038842,3.243288
360,674,6000132,0.04877870,0.00515743,3.241526
715,939,4307322,0.03501682,0.00370516,3.240440
273,1020,576673,0.00468812,0.00049633,3.239630
180,663,375086,0.00304930,0.00032297,3.239024
674,790,5984302,0.04865001,0.00516177,3.236502
193,228,466166,0.00378975,0.00040364,3.230968
69,991,680612,0.00553311,0.00058952,3.230481
166,660,490681,0.00398904,0.00042549,3.228860
125,375,789307,0.00641675,0.00068470,3.228295
210,492,648646,0.00527324,0.00056304,3.227379
159,372,587959,0.00477987,0.00051084,3.226033
422,952,461889,0.00375497,0.00040153,3.225227
220,793,230207,0.00187149,0.00020053,3.222327
492,740,845984,0.00687752,0.00073796,3.220265
19,448,1986867,0.01615244,0.00173570,3.218167
534,539,1773415,0.01441716,0.00155034,3.217131
442,474,553127,0.00449670,0.00048428,3.214941
40,465,380237,0.00309118,0.00033332,3.213186
385,548,610612,0.00496403,0.00053807,3.205657
519,622,557018,0.00452834,0.00049119,3.204616
153,846,131665,0.00107038,0.00011612,3.204499
50,153,136204,0.00110728,0.00012040,3.201060
731,775,1101407,0.00895400,0.00097804,3.194571
243,731,859014,0.00698344,0.00076338,3.193456
153,176,140838,0.00114496,0.00012545,3.190111
404,468,822582,0.00668727,0.00073385,3.187852
125,729,669407,0.00544201,0.00059751,3.187112
527,635,710700,0.00577771,0.00063568,3.184136
299,869,363944,0.00295872,0.00032554,3.184068
381,523,2860638,0.02325586,0.00256434,3.180936
151,527,791757,0.00643667,0.00071032,3.179782
437,579,1334880,0.01085205,0.00119987,3.177020
523,950,3826254,0.03110593,0.00344062,3.176449
691,968,1001694,0.00814338,0.00090075,3.176435
530,666,585697,0.00476148,0.00052689,3.175840
661,947,1085665,0.00882603,0.00097906,3.172297
417,991,641178,0.00521252,0.00057890,3.170592
124,973,543573,0.00441903,0.00049214,3.166596
781,948,2602609,0.02115818,0.00235794,3.165615
799,1013,3465373,0.02817211,0.00314040,3.165249
441,839,914633,0.00743560,0.00083169,3.160324
239,668,634867,0.00516122,0.00057755,3.159705
213,358,625154,0.00508225,0.00057108,3.153697
332,991,500984,0.00407280,0.00045784,3.153107
438,923,130310,0.00105937,0.00011915,3.152336
451,583,1138344,0.00925429,0.00104252,3.150050
461,885,1046139,0.00850470,0.00095894,3.148746
264,572,158491,0.00128847,0.00014544,3.147121
543,554,1808617,0.01470334,0.00166134,3.145724
124,285,1688214,0.01372451,0.00155585,3.140976
785,916,1106574,0.00899601,0.00102155,3.138519
53,843,2666954,0.02168128,0.00246210,3.138489
271,891,1811886,0.01472992,0.00167394,3.137433
58,969,1140129,0.00926880,0.00105442,3.135931
332,775,1301855,0.01058357,0.00120732,3.131943
107,654,509662,0.00414335,0.00047267,3.131904
62,810,1392348,0.01131924,0.00129158,3.131565
63,203,1569312,0.01275789,0.00146245,3.124927
76,296,307828,0.00250252,0.00028698,3.124368
342,1022,1538621,0.01250838,0.00143483,3.123942
355,676,404654,0.00328968,0.00037764,3.122859
380,976,1133099,0.00921165,0.00106034,3.118929
728,909,3400712,0.02764644,0.00318777,3.116473
582,661,482630,0.00392359,0.00045303,3.114485
229,783,679247,0.00552201,0.00063842,3.112624
740,897,887707,0.00721671,0.00083558,3.110496
262,809,1245051,0.01012177,0.00117266,3.109610
235,799,5184140,0.04214501,0.00489110,3.107132
14,543,2865274,0.02329354,0.00270384,3.106847
387,631,382097,0.00310630,0.00036170,3.102324
240,593,445441,0.00362126,0.00042187,3.101626
357,869,365877,0.00297444,0.00034665,3.101071
210,897,672657,0.00546844,0.00063751,3.100598
716,753,1807434,0.01469372,0.00171511,3.098826
18,354,1816746,0.01476943,0.00173467,3.089881
332,375,779116,0.00633390,0.00074499,3.087796
282,868,355706,0.00289175,0.00034049,3.086245
126,889,457684,0.00372079,0.00043817,3.086039
785,939,1977902,0.01607956,0.00189442,3.085400
919,976,763735,0.00620886,0.00073196,3.084486
205,988,151505,0.00123168,0.00014542,3.082339
352,984,5333069,0.04335574,0.00513384,3.078113
607,833,2953968,0.02401459,0.00284602,3.076895
534,563,1191433,0.00968588,0.00114817,3.076544
21,219,2367304,0.01924525,0.00228475,3.074395
125,548,599195,0.00487122,0.00057907,3.072482
265,469,457542,0.00371964,0.00044231,3.072025
246,743,435256,0.00353846,0.00042097,3.071334
217,635,371672,0.00302155,0.00035960,3.070806
261,609,843904,0.00686061,0.00081691,3.070081
299,923,204867,0.00166549,0.00019844,3.069188
677,729,725195,0.00589555,0.00070344,3.067120
14,241,1701201,0.01383009,0.00165941,3.059068
502,743,529129,0.00430161,0.00051723,3.055990
505,738,483911,0.00393401,0.00047349,3.054595
480,497,1255713,0.01020845,0.00122896,3.054251
55,513,139562,0.00113458,0.00013659,3.054221
191,792,3731750,0.03033765,0.00365511,3.053123
439,630,211259,0.00171745,0.00020731,3.050434
792,843,3282348,0.02668419,0.00322585,3.048234
497,942,735995,0.00598335,0.00072363,3.047634
848,938,309169,0.00251342,0.00030401,3.047483
198,502,640774,0.00520924,0.00063008,3.047471
848,982,432365,0.00351496,0.00042521,3.047275
243,332,957789,0.00778645,0.00094235,3.046634
393,641,2389151,0.01942285,0.00235285,3.045273
409,934,183151,0.00148895,0.00018059,3.043512
165,216,3864504,0.03141689,0.00381206,3.042899
244,413,303974,0.00247119,0.00030033,3.040597
78,126,677055,0.00550419,0.00066934,3.039711
14,554,1542416,0.01253923,0.00152542,3.039167
280,938,264910,0.00215361,0.00026224,3.037799
429,809,4526961,0.03680240,0.00448164,3.037701
341,829,3637531,0.02957169,0.00360792,3.034976
210,923,177294,0.00144133,0.00017600,3.033728
572,973,251927,0.00204807,0.00025020,3.033086
660,815,400053,0.00325227,0.00039739,3.032814
118,991,689382,0.00560440,0.00068578,3.030746
441,776,926339,0.00753077,0.00092282,3.028678
133,625,986039,0.00801611,0.00098255,3.028306
16,634,386690,0.00314364,0.00038545,3.027804
8,44,390630,0.00317567,0.00038965,3.026813
715,753,4309482,0.03503438,0.00430364,3.025143
625,691,635073,0.00516289,0.00063553,3.022146
281,1020,658643,0.00535451,0.00065947,3.021383
379,1012,276906,0.00225114,0.00027748,3.020208
381,417,2011220,0.01635042,0.00201693,3.019096
71,519,396424,0.00322277,0.00039773,3.018456
104,368,764039,0.00621133,0.00076771,3.016270
453,622,415101,0.00337461,0.00041782,3.013754
792,901,953786,0.00775390,0.00096016,3.013579
210,953,533258,0.00433518,0.00053740,3.012014
280,848,327665,0.00266379,0.00033047,3.010895
416,731,1087474,0.00884073,0.00109722,3.010319
469,614,608930,0.00495036,0.00061485,3.009216
66,660,227195,0.00184701,0.00022947,3.008821
107,113,277527,0.00225618,0.00028043,3.008195
69,125,964276,0.00783918,0.00097481,3.007506
53,191,2757718,0.02241916,0.00278973,3.006536
243,420,1455108,0.01182945,0.00147258,3.005961
236,429,2214312,0.01800148,0.00224267,3.004826
916,939,1040646,0.00846004,0.00105482,3.003668
591,794,6231303,0.05065803,0.00633495,2.999386
874,889,286082,0.00232573,0.00029098,2.998703
118,595,724305,0.00588831,0.00073756,2.997023
28,473,332071,0.00269961,0.00033830,2.996389
609,969,808749,0.00657481,0.00082620,2.992393
355,737,283809,0.00230725,0.00029025,2.990790
458,653,671949,0.00546268,0.00068891,2.987219
441,738,1301928,0.01058416,0.00133566,2.986277
251,957,484852,0.00394165,0.00049760,2.985733
193,593,913836,0.00742913,0.00093818,2.985254
145,906,1645261,0.01337532,0.00168949,2.984910
171,716,1793811,0.01458297,0.00184207,2.984887
34,850,430638,0.00350092,0.00044264,2.983523
194,729,643537,0.00523170,0.00066204,2.982285
280,982,356356,0.00289703,0.00036679,2.981554
506,539,732390,0.00595404,0.00075462,2.980045
193,242,1350760,0.01098114,0.00139191,2.979886
533,808,285674,0.00232242,0.00029472,2.978189
402,758,130885,0.00106404,0.00013522,2.976164
621,959,677743,0.00550978,0.00070171,2.973038
72,170,887385,0.00721409,0.00092094,2.969642
110,595,384200,0.00312339,0.00039919,2.967950
243,791,710673,0.00577749,0.00073845,2.967873
354,939,1837175,0.01493551,0.00191160,2.965894
554,905,397179,0.00322891,0.00041354,2.964934
11,839,696889,0.00566543,0.00072605,2.964044
550,835,2826327,0.02297692,0.00294591,2.963400
607,766,1759441,0.01430356,0.00183473,2.962737
260,636,202218,0.00164395,0.00021110,2.961138
261,969,1090125,0.00886229,0.00114329,2.954491
215,880,207600,0.00168771,0.00021806,2.952277
243,729,707508,0.00575176,0.00074373,2.951147
320,830,1100250,0.00894460,0.00115768,2.949784
107,745,1298936,0.01055984,0.00137087,2.945420
729,731,498579,0.00405325,0.00052665,2.944149
196,241,478931,0.00389352,0.00050622,2.943237
728,833,2969112,0.02413771,0.00314593,2.939728
369,985,1940722,0.01577730,0.00206050,2.936786
57,1003,313414,0.00254793,0.00033340,2.933994
165,185,659346,0.00536022,0.00070167,2.933438
863,1020,538646,0.00437898,0.00057368,2.932268
716,838,1830761,0.01488336,0.00195166,2.930925
149,467,137651,0.00111905,0.00014716,2.926790
