# total_molecules: 123007215
bit_position,count,fraction
0,3155488,0.02565287
1,5851139,0.04756745
2,938072,0.00762615
3,34999,0.00028453
4,1139485,0.00926356
5,254361,0.00206785
6,13716,0.00011151
7,67330,0.00054737
8,52497,0.00042678
9,80505,0.00065447
10,16381,0.00013317
11,190738,0.00155062
12,1644569,0.01336970
13,17468,0.00014201
14,2265846,0.01842043
15,3760,0.00003057
16,1933582,0.01571926
17,1456,0.00001184
18,970229,0.00788758
19,49341770,0.40112907
20,1572996,0.01278784
21,1523137,0.01238250
22,6113505,0.04970038
23,5430288,0.04414609
24,12839,0.00010438
25,15436498,0.12549262
26,5518911,0.04486656
27,148253,0.00120524
28,568134,0.00461870
29,525425,0.00427150
30,14000,0.00011381
31,182739,0.00148560
32,220143,0.00178968
33,1182765,0.00961541
34,22325,0.00018149
35,4751841,0.03863059
36,102015,0.00082934
37,104815,0.00085210
38,950737,0.00772912
39,13490462,0.10967212
40,3326754,0.02704519
41,16602,0.00013497
42,1491298,0.01212366
43,23490,0.00019096
44,1620685,0.01317553
45,8280076,0.06731374
46,25309,0.00020575
47,1094450,0.00889745
48,7523,0.00006116
49,31984,0.00026002
50,4019960,0.03268068
51,21291,0.00017309
52,11214,0.00009117
53,70756,0.00057522
54,4208750,0.03421547
55,4136,0.00003362
56,392928,0.00319435
57,48054,0.00039066
58,36071,0.00029324
59,441900,0.00359247
60,1385719,0.01126535
61,28232,0.00022951
62,284296,0.00231121
63,4253262,0.03457734
64,2984547,0.02426319
65,25705,0.00020897
66,306183,0.00248915
67,430782,0.00350209
68,13655011,0.11100984
69,1553225,0.01262710
70,26310,0.00021389
71,4686973,0.03810324
72,16310330,0.13259653
73,303732,0.00246922
74,11929,0.00009698
75,516692,0.00420050
76,5015221,0.04077176
77,74962,0.00060941
78,101903,0.00082843
79,50166,0.00040783
80,24163515,0.19643982
81,133592,0.00108605
82,723,0.00000588
83,298102,0.00242345
84,156006,0.00126827
85,4005709,0.03256483
86,1043308,0.00848168
87,2004600,0.01629661
88,13683,0.00011124
89,4414956,0.03589185
90,118469,0.00096311
91,160881,0.00130790
92,95217138,0.77407767
93,136404,0.00110891
94,1097699,0.00892386
95,251289,0.00204288
96,1150574,0.00935371
97,931711,0.00757444
98,6035,0.00004906
99,561844,0.00456757
100,3592473,0.02920538
101,2195041,0.01784482
102,2674207,0.02174025
103,436959,0.00355230
104,324764,0.00264020
105,395767,0.00321743
106,2740923,0.02228262
107,2939410,0.02389624
108,192762,0.00156708
109,4706922,0.03826541
110,543469,0.00441819
111,270006,0.00219504
112,3339511,0.02714890
113,1078036,0.00876401
114,8424630,0.06848891
115,1210471,0.00984065
116,3070128,0.02495893
117,4003373,0.03254584
118,1225150,0.00995998
119,605565,0.00492300
120,1071202,0.00870845
121,4138466,0.03364409
122,702180,0.00570845
123,23524,0.00019124
124,1555668,0.01264697
125,357577,0.00290696
126,641892,0.00521833
127,574463,0.00467016
128,253520,0.00206102
129,862291,0.00701008
130,5172470,0.04205014
131,105979,0.00086157
132,23150,0.00018820
133,295315,0.00240079
134,304618,0.00247642
135,310965,0.00252802
136,47186,0.00038360
137,441243,0.00358713
138,23085,0.00018767
139,2903291,0.02360261
140,6360192,0.05170585
141,7688,0.00006250
142,10429453,0.08478733
143,40968,0.00033305
144,1694029,0.01377179
145,163293,0.00132751
146,2591473,0.02106765
147,87712,0.00071306
148,29457,0.00023947
149,408564,0.00332146
150,1281484,0.01041796
151,5826462,0.04736683
152,7214,0.00005865
153,596329,0.00484792
154,2895,0.00002354
155,31569,0.00025664
156,4105796,0.03337850
157,858327,0.00697786
158,10110441,0.08219389
159,61110,0.00049680
160,14815490,0.12044407
161,199350,0.00162064
162,5314,0.00004320
163,66434,0.00054008
164,4399,0.00003576
165,237112,0.00192763
166,215671,0.00175332
167,8949,0.00007275
168,38323,0.00031155
169,3568181,0.02900790
170,1130121,0.00918744
171,173162,0.00140774
172,94193,0.00076575
173,964589,0.00784173
174,131356,0.00106787
175,306611,0.00249263
176,1736929,0.01412055
177,45758,0.00037199
178,92177,0.00074936
179,262866,0.00213700
180,2959862,0.02406251
181,19602,0.00015936
182,252590,0.00205346
183,56870,0.00046233
184,12763959,0.10376594
185,5704,0.00004637
186,256139,0.00208231
187,24700,0.00020080
188,65396,0.00053164
189,1554752,0.01263952
190,7158215,0.05819346
191,9111,0.00007407
192,866325,0.00704288
193,223840,0.00181973
194,8160,0.00006634
195,16634,0.00013523
196,9674,0.00007865
197,2692985,0.02189290
198,807689,0.00656619
199,804,0.00000654
200,484644,0.00393996
201,217003,0.00176415
202,39438,0.00032062
203,51165,0.00041595
204,24178,0.00019656
205,10145327,0.08247750
206,66904,0.00054390
207,12045432,0.09792460
208,220755,0.00179465
209,374023,0.00304066
210,14073520,0.11441215
211,234675,0.00190781
212,141024,0.00114647
213,273,0.00000222
214,309733,0.00251801
215,14195,0.00011540
216,457565,0.00371982
217,2045478,0.01662893
218,6876366,0.05590214
219,13769,0.00011194
220,24975,0.00020304
221,2628337,0.02136734
222,88549,0.00071987
223,5119454,0.04161914
224,256692,0.00208680
225,3284481,0.02670153
226,6811,0.00005537
227,250213,0.00203413
228,34863,0.00028342
229,6159394,0.05007344
230,306258,0.00248976
231,4048045,0.03290900
232,21367,0.00017371
233,55429,0.00045062
234,10644226,0.08653335
235,15432133,0.12545714
236,1629318,0.01324571
237,1040065,0.00845532
238,1773283,0.01441609
239,1265,0.00001028
240,16286,0.00013240
241,471228,0.00383090
242,93781,0.00076240
243,17853498,0.14514188
244,185330,0.00150666
245,56851,0.00046218
246,7221573,0.05870853
247,12747,0.00010363
248,64266,0.00052246
249,12656,0.00010289
250,462922,0.00376337
251,8448373,0.06868193
252,533233,0.00433497
253,1180096,0.00959371
254,26008,0.00021143
255,39260,0.00031917
256,427190,0.00347289
257,12239844,0.09950509
258,7970166,0.06479430
259,2073659,0.01685803
260,109608,0.00089107
261,1146786,0.00932292
262,245135,0.00199285
263,55091,0.00044787
264,15319,0.00012454
265,534766,0.00434744
266,3342150,0.02717036
267,183888,0.00149494
268,19375,0.00015751
269,18118,0.00014729
270,496218,0.00403406
271,1401730,0.01139551
272,538576,0.00437841
273,20545154,0.16702397
274,53112,0.00043178
275,505248,0.00410747
276,117676,0.00095666
277,164547,0.00133770
278,1176605,0.00956533
279,6890820,0.05601964
280,29251,0.00023780
281,721353,0.00586431
282,14649,0.00011909
283,454586,0.00369560
284,588203,0.00478186
285,7381,0.00006000
286,31265,0.00025417
287,441974,0.00359307
288,505401,0.00410871
289,459016,0.00373162
290,8626,0.00007013
291,3335156,0.02711350
292,598483,0.00486543
293,81643,0.00066373
294,201482,0.00163797
295,302888,0.00246236
296,72917,0.00059279
297,72302,0.00058779
298,12520,0.00010178
299,173670,0.00141187
300,4770984,0.03878621
301,27483,0.00022343
302,207627,0.00168793
303,4280,0.00003479
304,127939,0.00104009
305,138792,0.00112832
306,133892,0.00108849
307,13555032,0.11019705
308,3195451,0.02597775
309,9017,0.00007330
310,51587,0.00041938
311,2080907,0.01691695
312,1011953,0.00822678
313,131064,0.00106550
314,1598605,0.01299603
315,4989,0.00004056
316,20181428,0.16406703
317,62580,0.00050875
318,77405,0.00062927
319,302761,0.00246133
320,1109434,0.00901926
321,3874436,0.03149763
322,467377,0.00379959
323,389044,0.00316277
324,941371,0.00765297
325,44143786,0.35887152
326,167360,0.00136057
327,665720,0.00541204
328,623038,0.00506505
329,297683,0.00242005
330,2468219,0.02006564
331,52851,0.00042966
332,373019,0.00303250
333,2387,0.00001941
334,480,0.00000390
335,2779462,0.02259593
336,466958,0.00379618
337,1388441,0.01128748
338,3154031,0.02564102
339,3812,0.00003099
340,292375,0.00237689
341,3902288,0.03172406
342,609102,0.00495176
343,5139798,0.04178452
344,148963,0.00121101
345,32744,0.00026620
346,244927,0.00199116
347,636333,0.00517314
348,6199,0.00005040
349,8038510,0.06534991
350,56101,0.00045608
351,23204181,0.18864081
352,5903265,0.04799121
353,13780,0.00011203
