# total_molecules: 123007215
bit_position,count,fraction
0,64639849,0.52549640
1,31862983,0.25903345
2,29392391,0.23894851
3,33263260,0.27041715
4,59343461,0.48243886
5,54841139,0.44583677
6,31976211,0.25995395
7,41378354,0.33638965
8,24000160,0.19511181
9,47319115,0.38468569
10,67930018,0.55224418
11,13247064,0.10769339
12,12822746,0.10424385
13,101895834,0.82837282
14,19643528,0.15969411
15,97682510,0.79412017
16,66740324,0.54257243
17,62646437,0.50929075
18,43975956,0.35750713
19,22254243,0.18091819
20,32489769,0.26412897
21,38184204,0.31042247
22,22395387,0.18206564
23,93608201,0.76099765
24,8138770,0.06616498
25,34007766,0.27646969
26,47331136,0.38478341
27,38443689,0.31253198
28,31479951,0.25591955
29,46562064,0.37853116
30,38457407,0.31264351
31,19621172,0.15951237
32,19833890,0.16124168
33,26538567,0.21574805
34,105345330,0.85641586
35,20030821,0.16284265
36,48583490,0.39496456
37,47522973,0.38634297
38,34935417,0.28401112
39,58699367,0.47720263
40,5299066,0.04307931
41,78353135,0.63697999
42,26195278,0.21295725
43,24858616,0.20209071
44,44422293,0.36113567
45,26142717,0.21252995
46,33839980,0.27510565
47,28306573,0.23012124
48,31509170,0.25615709
49,66680974,0.54208994
50,65838323,0.53523952
51,44314962,0.36026311
52,10523086,0.08554853
53,25210346,0.20495014
54,47347540,0.38491677
55,29423625,0.23920243
56,6319803,0.05137750
57,60854901,0.49472627
58,73367804,0.59645122
59,79189649,0.64378052
60,73487174,0.59742166
61,12195828,0.09914726
62,59014728,0.47976639
63,40590564,0.32998523
64,39364302,0.32001620
65,32156926,0.26142309
66,5901941,0.04798045
67,121968105,0.99155245
68,57786414,0.46978069
69,63076583,0.51278767
70,33338926,0.27103228
71,32838934,0.26696754
72,45175662,0.36726026
73,37458573,0.30452338
74,42624421,0.34651968
75,19910314,0.16186298
76,41066889,0.33385756
77,50902213,0.41381486
78,16804725,0.13661577
79,29198468,0.23737199
80,77631953,0.63111707
81,93155125,0.75731432
82,41463447,0.33708142
83,29777797,0.24208171
84,74482260,0.60551131
85,66464978,0.54033398
86,59855417,0.48660086
87,14719804,0.11966618
88,66890356,0.54379213
89,33323139,0.27090394
90,28108397,0.22851015
91,55219758,0.44891479
92,46747694,0.38004026
93,31935672,0.25962438
94,68619193,0.55784690
95,25854479,0.21018669
96,58826709,0.47823787
97,23555977,0.19150077
98,11769904,0.09568466
99,57821118,0.47006282
100,67885044,0.55187855
101,21414392,0.17409054
102,21223031,0.17253485
103,22629338,0.18396757
104,61607866,0.50084758
105,50515542,0.41067137
106,20746712,0.16866256
107,6672077,0.05424135
108,13544071,0.11010794
109,22345734,0.18166198
110,20588603,0.16737720
111,50029079,0.40671662
112,81914888,0.66593564
113,63396746,0.51539047
114,72086703,0.58603638
115,38631240,0.31405670
116,81524227,0.66275972
117,90888810,0.73889007
118,41132894,0.33439416
119,16083899,0.13075574
120,43915915,0.35701902
121,86877837,0.70628245
122,30491909,0.24788716
123,29697983,0.24143285
124,37693525,0.30643345
125,73885219,0.60065760
126,48291168,0.39258809
127,37077461,0.30142509
128,40110969,0.32608631
129,31417667,0.25541320
130,12928582,0.10510426
131,17361161,0.14113937
132,53273302,0.43309087
133,18028443,0.14656411
134,24644966,0.20035382
135,27304471,0.22197455
136,41558409,0.33785343
137,41848087,0.34020839
138,100899949,0.82027667
139,19977038,0.16240542
140,21920274,0.17820316
141,26643961,0.21660486
142,31612724,0.25699894
143,42162184,0.34276188
144,27416238,0.22288317
145,74015396,0.60171589
146,50488297,0.41044988
147,22885728,0.18605192
148,40169346,0.32656089
149,24350289,0.19795822
150,64388887,0.52345618
151,7364277,0.05986866
152,44503709,0.36179755
153,93661330,0.76142956
154,44323991,0.36033651
155,37991643,0.30885703
156,19378084,0.15753616
157,109924410,0.89364197
158,36797358,0.29914796
159,53627351,0.43596915
160,29878392,0.24289951
161,17550698,0.14268023
162,54883266,0.44617924
163,36344735,0.29546832
164,56361960,0.45820044
165,14161917,0.11513078
166,24735724,0.20109165
167,20869856,0.16966367
168,18656297,0.15166831
169,12063113,0.09806834
170,13963587,0.11351844
171,14335655,0.11654320
172,63237202,0.51409344
173,6084404,0.04946380
174,19001602,0.15447551
175,15618402,0.12697143
176,67888673,0.55190806
177,32331491,0.26284223
178,26254048,0.21343502
179,34967822,0.28427456
180,23590983,0.19178536
181,80561986,0.65493708
182,40993263,0.33325901
183,15730853,0.12788561
184,9770762,0.07943243
185,49422723,0.40178719
186,87409406,0.71060389
187,17963988,0.14604012
188,41865914,0.34035332
189,61885476,0.50310444
190,48617595,0.39524182
191,46057055,0.37442564
192,33962121,0.27609861
193,23708872,0.19274375
194,63119226,0.51313434
195,54064457,0.43952265
196,89839169,0.73035691
197,14793422,0.12026467
198,68460012,0.55655282
199,70071754,0.56965564
200,5869760,0.04771883
201,68515743,0.55700589
202,28756496,0.23377894
203,47163446,0.38342016
204,14803984,0.12035053
205,22155739,0.18011739
206,36472827,0.29650966
207,32967528,0.26801296
208,60272383,0.48999063
209,19141016,0.15560889
210,24619647,0.20014799
211,6067135,0.04932341
212,66254936,0.53862642
213,28999918,0.23575786
214,80416675,0.65375576
215,11323171,0.09205290
216,23084595,0.18766863
217,41242243,0.33528312
218,35834344,0.29131904
219,61987936,0.50393740
220,60484809,0.49171757
221,25431914,0.20675140
222,105603169,0.85851199
223,50699925,0.41217033
224,75820998,0.61639472
225,26538162,0.21574476
226,47916018,0.38953827
227,23246479,0.18898468
228,21199039,0.17233980
229,29110799,0.23665928
230,21077612,0.17135265
231,18652229,0.15163524
232,34428172,0.27988742
233,15712169,0.12773372
234,35209997,0.28624335
235,55614018,0.45211997
236,8896668,0.07232639
237,17128613,0.13924885
238,20132312,0.16366773
239,18504563,0.15043478
240,16643509,0.13530514
241,14282803,0.11611354
242,44340407,0.36046997
243,21764209,0.17693441
244,55007332,0.44718785
245,70956658,0.57684956
246,53792907,0.43731506
247,20056091,0.16304809
248,10934497,0.08889314
249,28085802,0.22832646
250,64889215,0.52752365
251,93581617,0.76078153
252,33185969,0.26978880
253,34313207,0.27895280
254,41680595,0.33884675
255,47801056,0.38860368
256,27333864,0.22221350
257,46625540,0.37904720
258,69439629,0.56451672
259,48512547,0.39438782
260,40463206,0.32894986
261,24080809,0.19576745
262,64510820,0.52444745
263,45855194,0.37278459
264,18049027,0.14673145
265,45060794,0.36632643
266,86920792,0.70663166
267,50478464,0.41036994
268,37732764,0.30675245
269,18160933,0.14764120
270,49514876,0.40253636
271,15398365,0.12518262
272,15069400,0.12250826
273,45347339,0.36865593
274,91238535,0.74173320
275,47971632,0.38999039
276,36719839,0.29851777
277,50385725,0.40961601
278,28948135,0.23533689
279,19381999,0.15756798
280,64104251,0.52114220
281,97102363,0.78940380
282,34194512,0.27798786
283,13076779,0.10630904
284,46526456,0.37824168
285,53879892,0.43802221
286,58963049,0.47934626
287,48779833,0.39656075
288,59929032,0.48719932
289,85707034,0.69676428
290,35315612,0.28710196
291,26593145,0.21619175
292,26050765,0.21178241
293,106190685,0.86328826
294,58269804,0.47371046
295,54116995,0.43994976
296,21804765,0.17726411
297,43719414,0.35542154
298,68780601,0.55915908
299,44184058,0.35919891
300,52813904,0.42935615
301,33866473,0.27532103
302,18594805,0.15116841
303,86281095,0.70143117
304,97407080,0.79188103
305,107526482,0.87414776
306,33400709,0.27153455
307,56732786,0.46121511
308,33160649,0.26958296
309,50346530,0.40929737
310,25666265,0.20865658
311,31082125,0.25268538
312,44431844,0.36121332
313,14531523,0.11813553
314,34701246,0.28210740
315,58977647,0.47946494
316,49473078,0.40219655
317,22596508,0.18370067
318,49039160,0.39866897
319,78711817,0.63989594
320,38587600,0.31370192
321,33757015,0.27443118
322,75055429,0.61017095
323,87753760,0.71340336
324,81088248,0.65921538
325,72402363,0.58860257
326,9456746,0.07687960
327,46528060,0.37825472
328,56227399,0.45710651
329,53827794,0.43759867
330,26909818,0.21876618
331,32096481,0.26093169
332,14221165,0.11561245
333,48464346,0.39399596
334,103834160,0.84413065
335,45041260,0.36616763
336,38081490,0.30958745
337,59758351,0.48581176
338,45236065,0.36775131
339,21300397,0.17316380
340,71473404,0.58105050
341,103645630,0.84259797
342,53738016,0.43686881
343,96600715,0.78532560
344,20402659,0.16586555
345,80072276,0.65095593
346,28502013,0.23171009
347,24190184,0.19665663
348,30234772,0.24579674
349,48986861,0.39824380
350,55212483,0.44885565
351,107775219,0.87616990
352,42334118,0.34415963
353,43186265,0.35108725
354,89382716,0.72664612
355,14406072,0.11711567
356,59672791,0.48511619
357,21744486,0.17677407
358,28466787,0.23142372
359,95068287,0.77286757
360,42995376,0.34953540
361,9439723,0.07674121
362,52564980,0.42733249
363,7610051,0.06186670
364,28083848,0.22831058
365,54991693,0.44706071
366,61172339,0.49730692
367,33737991,0.27427652
368,39726715,0.32296248
369,18330911,0.14902306
370,37855764,0.30775239
371,53958390,0.43866037
372,42297076,0.34385850
373,61620307,0.50094872
374,78870250,0.64118393
375,86371074,0.70216267
376,17093304,0.13896180
377,21777773,0.17704468
378,57173546,0.46479831
379,20984298,0.17059404
380,15185409,0.12345137
381,59141861,0.48079994
382,56914064,0.46268883
383,73335627,0.59618964
384,34136469,0.27751599
385,65953813,0.53617841
386,40304065,0.32765611
387,25512010,0.20740255
388,65109213,0.52931215
389,72631098,0.59046210
390,39966767,0.32491401
391,25635193,0.20840398
392,68641808,0.55803075
393,31596923,0.25687049
394,14029999,0.11405834
395,40355782,0.32807654
396,42031336,0.34169814
397,36561321,0.29722908
398,23776242,0.19329144
399,55681059,0.45266498
400,78961566,0.64192630
401,47371957,0.38511527
402,43667709,0.35500120
403,11280984,0.09170994
404,18454707,0.15002947
405,23868283,0.19403970
406,33129037,0.26932597
407,86783109,0.70551235
408,15995786,0.13003941
409,66673988,0.54203315
410,54101783,0.43982609
411,60740245,0.49379416
412,49673305,0.40382432
413,51745702,0.42067209
414,59433644,0.48317202
415,37930103,0.30835673
416,3961185,0.03220287
417,74927629,0.60913198
418,86777016,0.70546281
419,4878536,0.03966057
420,70960889,0.57688396
421,24892030,0.20236236
422,42447880,0.34508447
423,27854221,0.22644380
424,18835968,0.15312897
425,32021325,0.26032071
426,45210127,0.36754045
427,47790162,0.38851511
428,12082208,0.09822357
429,12958435,0.10534695
430,14962832,0.12164191
431,16566288,0.13467737
432,38735054,0.31490067
433,34048928,0.27680432
434,11748239,0.09550854
435,10380812,0.08439190
436,85090575,0.69175272
437,16988843,0.13811257
438,15131084,0.12300973
439,67800944,0.55119485
440,61100175,0.49672025
441,58622287,0.47657600
442,60534448,0.49212112
443,12683540,0.10311216
444,71675821,0.58269607
445,27188605,0.22103260
446,21189734,0.17226416
447,15143157,0.12310788
448,54409708,0.44232940
449,24524742,0.19937645
450,23088863,0.18770332
451,83664362,0.68015817
452,35830285,0.29128604
453,20786696,0.16898762
454,47621736,0.38714588
455,105914482,0.86104284
456,64109616,0.52118582
457,28961829,0.23544821
458,27382403,0.22260810
459,20487071,0.16655178
460,47888571,0.38931514
461,57967601,0.47125367
462,64526572,0.52457551
463,37732554,0.30675074
464,106355652,0.86462938
465,39249332,0.31908154
466,52470532,0.42656467
467,36093747,0.29342789
468,29516212,0.23995513
469,33156284,0.26954747
470,15574259,0.12661256
471,68754206,0.55894450
472,57136987,0.46450110
473,38417899,0.31232232
474,28363290,0.23058233
475,58978725,0.47947370
476,55302126,0.44958441
477,20694156,0.16823530
478,79058122,0.64271126
479,64922217,0.52779194
480,25632159,0.20837931
481,32153635,0.26139633
482,17554138,0.14270820
483,30067084,0.24443350
484,42227671,0.34329426
485,50824899,0.41318632
