# total_molecules: 123007215
bit_position,count,fraction
0,10966155,0.08915050
1,3270977,0.02659175
2,364542,0.00296358
3,36055,0.00029311
4,1724585,0.01402019
5,327115,0.00265932
6,7143,0.00005807
7,446,0.00000363
8,268352,0.00218160
9,40337,0.00032792
10,2102,0.00001709
11,335,0.00000272
12,179115,0.00145613
13,11371,0.00009244
14,576,0.00000468
15,110,0.00000089
16,1680436,0.01366128
17,114638,0.00093196
18,7167,0.00005826
19,1211,0.00000984
20,544529,0.00442681
21,137809,0.00112033
22,5808,0.00004722
23,768,0.00000624
24,2235190,0.01817121
25,696777,0.00566452
26,31986,0.00026003
27,1757,0.00001428
28,29090876,0.23649731
29,12541447,0.10195700
30,1660475,0.01349900
31,108309,0.00088051
32,81237,0.00066042
33,15605,0.00012686
34,1331,0.00001082
35,227,0.00000185
36,967999,0.00786945
37,27732,0.00022545
38,1475,0.00001199
39,389,0.00000316
40,114009,0.00092685
41,15675,0.00012743
42,1003,0.00000815
43,125,0.00000102
44,36924,0.00030018
45,10308,0.00008380
46,2232,0.00001815
47,275,0.00000224
48,749161,0.00609038
49,63701,0.00051786
50,4065,0.00003305
51,302,0.00000246
52,49484,0.00040229
53,25967,0.00021110
54,974,0.00000792
55,86,0.00000070
56,1256958,0.01021857
57,193870,0.00157609
58,14566,0.00011842
59,2466,0.00002005
60,1201894,0.00977092
61,134510,0.00109351
62,10952,0.00008904
63,827,0.00000672
64,255806,0.00207960
65,9697,0.00007883
66,1228,0.00000998
67,231,0.00000188
68,374753,0.00304659
69,197386,0.00160467
70,17835,0.00014499
71,1564,0.00001271
72,367836,0.00299036
73,291452,0.00236939
74,14488,0.00011778
75,1600,0.00001301
76,20908,0.00016997
77,4110,0.00003341
78,547,0.00000445
79,37,0.00000030
80,180711,0.00146911
81,76492,0.00062185
82,2659,0.00002162
83,133,0.00000108
84,104467,0.00084928
85,9529,0.00007747
86,1107,0.00000900
87,145,0.00000118
88,319598,0.00259821
89,141366,0.00114925
90,18512,0.00015050
91,935,0.00000760
92,1410444,0.01146635
93,56839,0.00046208
94,2258,0.00001836
95,231,0.00000188
96,2406292,0.01956220
97,306802,0.00249418
98,21320,0.00017332
99,1244,0.00001011
100,82029,0.00066686
101,25789,0.00020965
102,7193,0.00005848
103,1377,0.00001119
104,375222,0.00305041
105,79455,0.00064594
106,23125,0.00018800
107,4148,0.00003372
108,311340,0.00253107
109,61915,0.00050334
110,2306,0.00001875
111,111,0.00000090
112,494598,0.00402089
113,41692,0.00033894
114,6607,0.00005371
115,748,0.00000608
116,800422,0.00650711
117,439285,0.00357121
118,86431,0.00070265
119,2159,0.00001755
120,2323972,0.01889297
121,769365,0.00625463
122,51631,0.00041974
123,1995,0.00001622
124,5926978,0.04818399
125,2638704,0.02145162
126,355675,0.00289150
127,37491,0.00030479
128,10565912,0.08589669
129,3717516,0.03022193
130,137278,0.00111602
131,7044,0.00005726
132,872975,0.00709694
133,277584,0.00225665
134,23487,0.00019094
135,2703,0.00002197
136,488386,0.00397038
137,83167,0.00067611
138,3261,0.00002651
139,365,0.00000297
140,511236,0.00415615
141,61317,0.00049848
142,4641,0.00003773
143,369,0.00000300
144,500740,0.00407082
145,56053,0.00045569
146,5921,0.00004814
147,598,0.00000486
148,2267772,0.01843609
149,160901,0.00130806
150,4261,0.00003464
151,273,0.00000222
152,5413183,0.04400704
153,2803476,0.02279115
154,233790,0.00190062
155,6870,0.00005585
156,796620,0.00647621
157,371625,0.00302116
158,88921,0.00072289
159,4396,0.00003574
160,462325,0.00375852
161,166699,0.00135520
162,22385,0.00018198
163,3154,0.00002564
164,703696,0.00572077
165,28596,0.00023247
166,1443,0.00001173
167,188,0.00000153
168,463703,0.00376972
169,78849,0.00064101
170,18864,0.00015336
171,1777,0.00001445
172,641275,0.00521331
173,263685,0.00214365
174,16859,0.00013706
175,1132,0.00000920
176,256564,0.00208576
177,35084,0.00028522
178,4651,0.00003781
179,366,0.00000298
180,716531,0.00582511
181,47809,0.00038867
182,19910,0.00016186
183,7287,0.00005924
184,1324616,0.01076860
185,126229,0.00102619
186,3288,0.00002673
187,229,0.00000186
188,200637,0.00163110
189,36894,0.00029993
190,3056,0.00002484
191,128,0.00000104
192,1358472,0.01104384
193,161506,0.00131298
194,46815,0.00038059
195,11246,0.00009143
196,1262148,0.01026076
197,417977,0.00339799
198,56935,0.00046286
199,1975,0.00001606
200,415466,0.00337757
201,65170,0.00052981
202,13158,0.00010697
203,3164,0.00002572
204,337930,0.00274724
205,8156,0.00006631
206,767,0.00000624
207,62,0.00000050
208,55229,0.00044899
209,24576,0.00019979
210,1348,0.00001096
211,111,0.00000090
212,212979,0.00173144
213,33851,0.00027520
214,5793,0.00004709
215,592,0.00000481
216,3602505,0.02928694
217,996940,0.00810473
218,194521,0.00158138
219,15521,0.00012618
220,1958012,0.01591786
221,987504,0.00802802
222,403846,0.00328311
223,30590,0.00024868
224,1400352,0.01138431
225,52756,0.00042889
226,5476,0.00004452
227,966,0.00000785
228,1562544,0.01270286
229,371971,0.00302398
230,72221,0.00058713
231,7187,0.00005843
232,350818,0.00285201
