# total_molecules: 123007215
bit_position,count,fraction
0,12257403,0.09964784
1,3456673,0.02810138
2,369771,0.00300609
3,36613,0.00029765
4,3817931,0.03103827
5,936749,0.00761540
6,35821,0.00029121
7,1835,0.00001492
8,1781156,0.01448009
9,552044,0.00448790
10,51691,0.00042023
11,3567,0.00002900
12,39436475,0.32060294
13,22920350,0.18633338
14,5665801,0.04606072
15,909937,0.00739743
16,1890109,0.01536584
17,157928,0.00128389
18,9304,0.00007564
19,1360,0.00001106
20,1120826,0.00911187
21,213997,0.00173971
22,8764,0.00007125
23,930,0.00000756
24,2402776,0.01953362
25,723262,0.00587983
26,37733,0.00030675
27,5422,0.00004408
28,29893731,0.24302421
29,13273398,0.10790748
30,2196157,0.01785389
31,440278,0.00357929
32,1971686,0.01602903
33,893510,0.00726388
34,64596,0.00052514
35,12251,0.00009960
36,1714860,0.01394113
37,232151,0.00188730
38,17328,0.00014087
39,788,0.00000641
40,616485,0.00501178
41,137265,0.00111591
42,21041,0.00017106
43,4116,0.00003346
44,672603,0.00546800
45,145737,0.00118478
46,28039,0.00022795
47,6375,0.00005183
48,57359814,0.46631260
49,51197001,0.41621137
50,15229523,0.12381000
51,2756164,0.02240652
52,1045408,0.00849875
53,288113,0.00234224
54,54073,0.00043959
55,6756,0.00005492
56,1492918,0.01213683
57,211093,0.00171610
58,16032,0.00013033
59,2570,0.00002089
60,1856766,0.01509477
61,553332,0.00449837
62,166128,0.00135055
63,14592,0.00011863
64,1650960,0.01342165
65,293277,0.00238423
66,10689,0.00008690
67,979,0.00000796
68,451831,0.00367321
69,216084,0.00175668
70,22176,0.00018028
71,2618,0.00002128
72,572405,0.00465343
73,311620,0.00253335
74,18055,0.00014678
75,1776,0.00001444
76,904256,0.00735124
77,203249,0.00165233
78,19312,0.00015700
79,809,0.00000658
80,704830,0.00572999
81,169678,0.00137942
82,7877,0.00006404
83,634,0.00000515
84,241805,0.00196578
85,88274,0.00071763
86,10077,0.00008192
87,663,0.00000539
88,583540,0.00474395
89,337566,0.00274428
90,84875,0.00069000
91,2686,0.00002184
92,1927861,0.01567275
93,324902,0.00264132
94,36410,0.00029600
95,3210,0.00002610
96,3983878,0.03238735
97,430423,0.00349917
98,28310,0.00023015
99,1859,0.00001511
100,672726,0.00546900
101,133564,0.00108582
102,21404,0.00017401
103,1768,0.00001437
104,1372112,0.01115473
105,279924,0.00227567
106,27706,0.00022524
107,4655,0.00003784
108,1121368,0.00911628
109,682140,0.00554553
110,18606,0.00015126
111,5544,0.00004507
112,2815838,0.02289165
113,1076018,0.00874760
114,82757,0.00067278
115,9197,0.00007477
116,1558619,0.01267096
117,642285,0.00522152
118,105820,0.00086027
119,4918,0.00003998
120,6773980,0.05506978
121,1969038,0.01600750
122,89317,0.00072611
123,3251,0.00002643
124,6632371,0.05391855
125,2715960,0.02207968
126,363010,0.00295113
127,38025,0.00030913
128,11581758,0.09415511
129,3827729,0.03111792
130,141768,0.00115252
131,7760,0.00006309
132,4405386,0.03581405
133,530135,0.00430979
134,36063,0.00029318
135,3739,0.00003040
136,620075,0.00504096
137,99936,0.00081244
138,5077,0.00004127
139,513,0.00000417
140,6007679,0.04884005
141,613664,0.00498885
142,21974,0.00017864
143,1328,0.00001080
144,3396015,0.02760826
145,1369334,0.01113214
146,266118,0.00216343
147,33028,0.00026850
148,3016332,0.02452159
149,465901,0.00378759
150,37232,0.00030268
151,6153,0.00005002
152,5588295,0.04543063
153,2820784,0.02293186
154,238103,0.00193568
155,7287,0.00005924
156,2910653,0.02366246
157,1603272,0.01303397
158,517781,0.00420935
159,176333,0.00143352
160,772532,0.00628038
161,192707,0.00156663
162,27257,0.00022159
163,4164,0.00003385
164,1208596,0.00982541
165,497007,0.00404047
166,147181,0.00119652
167,4568,0.00003714
168,2246184,0.01826059
169,357935,0.00290987
170,28024,0.00022782
171,3538,0.00002876
172,1225276,0.00996101
173,299227,0.00243260
174,18902,0.00015367
175,1296,0.00001054
176,5987428,0.04867542
177,4235330,0.03443156
178,2306671,0.01875232
179,256430,0.00208467
180,1086820,0.00883542
181,345660,0.00281008
182,46232,0.00037585
183,9602,0.00007806
184,1671194,0.01358615
185,141806,0.00115283
186,4846,0.00003940
187,417,0.00000339
188,1352236,0.01099314
189,150701,0.00122514
190,9073,0.00007376
191,731,0.00000594
192,1424960,0.01158436
193,181132,0.00147253
194,51127,0.00041564
195,12708,0.00010331
196,2096642,0.01704487
197,491204,0.00399329
198,60069,0.00048834
199,2286,0.00001858
200,1958244,0.01591975
201,217579,0.00176883
202,20796,0.00016906
203,3741,0.00003041
204,861349,0.00700243
205,110309,0.00089677
206,9931,0.00008074
207,1184,0.00000963
208,537784,0.00437197
209,82938,0.00067425
210,3665,0.00002980
211,302,0.00000246
212,396018,0.00321947
213,151047,0.00122795
214,11724,0.00009531
215,992,0.00000806
216,3874859,0.03150107
217,1156579,0.00940253
218,269680,0.00219239
219,18739,0.00015234
220,2476124,0.02012991
221,1087014,0.00883699
222,413389,0.00336069
223,31361,0.00025495
224,1637044,0.01330852
225,109914,0.00089356
226,10218,0.00008307
227,1232,0.00001002
228,2013309,0.01636741
229,459046,0.00373186
230,78962,0.00064193
231,8467,0.00006883
232,4842758,0.03936971
233,2287971,0.01860030
234,141383,0.00114939
235,16108,0.00013095
236,3660199,0.02975597
237,1850257,0.01504186
238,737355,0.00599440
239,192532,0.00156521
240,8694479,0.07068267
241,3693941,0.03003028
242,395626,0.00321628
243,104536,0.00084984
244,3037242,0.02469158
245,1638175,0.01331771
246,236047,0.00191897
