# total_molecules: 123007215
bit_position,count,fraction
0,384768,0.00312801
1,38586391,0.31369210
2,5391303,0.04382916
3,829706,0.00674518
4,1580802,0.01285129
5,3404608,0.02767812
6,426031,0.00346346
7,880055,0.00715450
8,1597840,0.01298981
9,1730147,0.01406541
10,696181,0.00565968
11,1682637,0.01367917
12,728084,0.00591903
13,10223178,0.08311039
14,5238730,0.04258880
15,619077,0.00503285
16,1297899,0.01055141
17,536944,0.00436514
18,4573842,0.03718353
19,723598,0.00588257
20,811770,0.00659937
21,834920,0.00678757
22,559464,0.00454822
23,606686,0.00493212
24,946067,0.00769115
25,2646377,0.02151400
26,809795,0.00658331
27,1548204,0.01258629
28,726254,0.00590416
29,5796366,0.04712216
30,1163631,0.00945986
31,2582595,0.02099548
32,1453383,0.01181543
33,1921995,0.01562506
34,2817357,0.02290400
35,1198902,0.00974660
36,950686,0.00772870
37,1176100,0.00956123
38,965494,0.00784908
39,1194844,0.00971361
40,999896,0.00812876
41,1830946,0.01488487
42,1857052,0.01509710
43,4461458,0.03626989
44,430303,0.00349819
45,5779328,0.04698365
46,1187723,0.00965572
47,747318,0.00607540
48,467574,0.00380119
49,653774,0.00531492
50,894020,0.00726803
51,642469,0.00522302
52,890292,0.00723772
53,877763,0.00713587
54,1937120,0.01574802
55,519973,0.00422717
56,887519,0.00721518
57,1583642,0.01287438
58,2375527,0.01931209
59,1473805,0.01198145
60,747503,0.00607690
61,1205926,0.00980370
62,2159635,0.01755698
63,1132379,0.00920579
64,505072,0.00410604
65,1028300,0.00835967
66,1152804,0.00937184
67,2031192,0.01651279
68,1022543,0.00831287
69,3343604,0.02718218
70,1200107,0.00975640
71,918374,0.00746602
72,1042581,0.00847577
73,540412,0.00439334
74,4468039,0.03632339
75,1320000,0.01073108
76,1037562,0.00843497
77,1102554,0.00896333
78,1510586,0.01228047
79,4340973,0.03529039
80,86856677,0.70611043
81,1613901,0.01312038
82,799440,0.00649913
83,1192946,0.00969818
84,2530684,0.02057346
85,767893,0.00624267
86,644302,0.00523792
87,1456648,0.01184197
88,852357,0.00692933
89,1074959,0.00873899
90,4142807,0.03367938
91,1014343,0.00824621
92,4603951,0.03742830
93,805510,0.00654848
94,6758228,0.05494172
95,1177386,0.00957168
96,506332,0.00411628
97,1417867,0.01152670
98,442283,0.00359559
99,1392585,0.01132117
100,589876,0.00479546
101,871439,0.00708445
102,6028381,0.04900835
103,664274,0.00540028
104,1912064,0.01554432
105,1325255,0.01077380
106,3712557,0.03018162
107,2064128,0.01678054
108,1870934,0.01520995
109,582617,0.00473645
110,1420693,0.01154967
111,421136,0.00342367
112,955337,0.00776651
113,935516,0.00760538
114,20629364,0.16770857
115,1371446,0.01114931
116,7937515,0.06452886
117,1818264,0.01478177
118,4245004,0.03451020
119,6043569,0.04913183
120,812221,0.00660304
121,2374765,0.01930590
122,997954,0.00811297
123,643427,0.00523081
124,381945,0.00310506
125,2122464,0.01725479
126,3186867,0.02590797
127,887868,0.00721802
128,763686,0.00620847
129,723013,0.00587781
130,2376337,0.01931868
131,1980212,0.01609834
132,663154,0.00539118
133,1509977,0.01227552
134,693750,0.00563991
135,976538,0.00793887
136,873621,0.00710219
137,855446,0.00695444
138,1208220,0.00982235
139,1298019,0.01055238
140,3251047,0.02642973
141,779485,0.00633690
142,1544127,0.01255314
143,1076478,0.00875134
144,5635347,0.04581314
145,6683183,0.05433163
146,1414344,0.01149806
147,9601469,0.07805614
148,810189,0.00658652
149,1168000,0.00949538
150,948475,0.00771073
151,1390362,0.01130309
152,551717,0.00448524
153,614129,0.00499263
154,1499787,0.01219268
155,1440274,0.01170886
156,628762,0.00511159
157,2043258,0.01661088
158,2289912,0.01861608
159,508571,0.00413448
160,1191764,0.00968857
161,562530,0.00457315
162,7314955,0.05946769
163,1059895,0.00861653
164,1251043,0.01017048
165,4629790,0.03763836
166,848388,0.00689706
167,1883223,0.01530986
168,1770156,0.01439067
169,798658,0.00649277
170,1882684,0.01530548
171,1069945,0.00869823
172,1852383,0.01505914
173,674383,0.00548247
174,968398,0.00787269
175,730726,0.00594051
176,693695,0.00563947
177,1252598,0.01018313
178,567030,0.00460973
179,986013,0.00801590
180,1309637,0.01064683
181,431838,0.00351067
182,817464,0.00664566
183,719630,0.00585031
184,2277470,0.01851493
185,530342,0.00431147
186,1518812,0.01234734
187,656727,0.00533893
188,829473,0.00674329
189,1211823,0.00985164
190,890341,0.00723812
191,8018288,0.06518551
192,2993440,0.02433548
193,3029308,0.02462708
194,1424815,0.01158318
195,1335801,0.01085953
196,1208507,0.00982468
197,5103455,0.04148907
198,1277881,0.01038867
199,1370337,0.01114030
200,586950,0.00477167
201,976457,0.00793821
202,4542138,0.03692579
203,3146909,0.02558313
204,1960132,0.01593510
205,1006613,0.00818337
206,1340731,0.01089961
207,3511202,0.02854468
208,1412664,0.01148440
209,2362151,0.01920335
210,908860,0.00738867
211,700088,0.00569144
212,1258068,0.01022760
213,3145746,0.02557367
214,1050934,0.00854368
215,843117,0.00685421
216,9880492,0.08032449
217,1491616,0.01212625
218,811608,0.00659805
219,1059639,0.00861445
220,1158130,0.00941514
221,1738410,0.01413259
222,8694332,0.07068148
223,897145,0.00729343
224,919480,0.00747501
225,739125,0.00600879
226,1730450,0.01406787
227,6300774,0.05122280
228,502130,0.00408212
229,2540578,0.02065389
230,1704093,0.01385360
231,9050312,0.07357546
232,687626,0.00559013
233,4882213,0.03969046
234,562283,0.00457114
235,6105018,0.04963138
236,793939,0.00645441
237,5917044,0.04810323
238,1334590,0.01084969
239,1757263,0.01428585
240,829002,0.00673946
241,2407312,0.01957049
242,4132238,0.03359346
243,876516,0.00712573
244,853163,0.00693588
245,1035595,0.00841898
246,1656429,0.01346611
247,1011692,0.00822466
248,4032089,0.03277929
249,9503459,0.07725936
250,1035927,0.00842168
251,2557364,0.02079036
252,3400538,0.02764503
253,1076591,0.00875226
254,827443,0.00672678
255,6207136,0.05046156
