# total_molecules: 123007215
bit_position,count,fraction
0,27619514,0.22453572
1,37969385,0.30867608
2,38118917,0.30989172
3,21445579,0.17434407
4,21908532,0.17810770
5,56994834,0.46334545
6,16665369,0.13548286
7,25664302,0.20864062
8,35805079,0.29108113
9,18204434,0.14799485
10,47261321,0.38421584
11,17898540,0.14550805
12,12674909,0.10304200
13,16161038,0.13138285
14,26228421,0.21322669
15,23938765,0.19461269
16,27351908,0.22236019
17,20154162,0.16384536
18,28466702,0.23142303
19,15804943,0.12848793
20,32900203,0.26746564
21,23889676,0.19421362
22,30710122,0.24966114
23,34145019,0.27758550
24,32300549,0.26259069
25,37403087,0.30407230
26,30787185,0.25028764
27,60583050,0.49251623
28,16084365,0.13075952
29,31639673,0.25721803
30,25085490,0.20393511
31,20506257,0.16670776
32,28366381,0.23060746
33,22532863,0.18318326
34,39387718,0.32020657
35,18412166,0.14968363
36,24570268,0.19974656
37,29101751,0.23658572
38,18869886,0.15340471
39,32146081,0.26133492
40,20222974,0.16440478
41,29886639,0.24296655
42,29884595,0.24294994
43,19993691,0.16254080
44,47618307,0.38711800
45,23235732,0.18889731
46,19013855,0.15457512
47,26811839,0.21796965
48,16705790,0.13581146
49,29323135,0.23838549
50,16209741,0.13177878
51,48664938,0.39562670
52,18925933,0.15386035
53,18452471,0.15001129
54,21802228,0.17724349
55,31967877,0.25988619
56,38326575,0.31157989
57,22984364,0.18685379
58,20087875,0.16330648
59,16841586,0.13691543
60,16112541,0.13098858
61,35718732,0.29037916
62,24993028,0.20318343
63,20268554,0.16477533
64,34438070,0.27996789
65,21418765,0.17412609
66,24895181,0.20238797
67,14504172,0.11791318
68,25274705,0.20547335
69,21463526,0.17448998
70,25827494,0.20996731
71,47738228,0.38809291
72,19651225,0.15975669
73,20153449,0.16383957
74,29900167,0.24307653
75,18352955,0.14920226
76,42487174,0.34540392
77,32982227,0.26813246
78,18987259,0.15435890
79,13368843,0.10868341
80,20239854,0.16454201
81,19505657,0.15857328
82,19065627,0.15499601
83,30706351,0.24963049
84,21212348,0.17244800
85,30380800,0.24698389
86,16210769,0.13178714
87,23368606,0.18997752
88,19455344,0.15816425
89,19387056,0.15760910
90,47415484,0.38546913
91,29706784,0.24150440
92,30375746,0.24694280
93,16114616,0.13100545
94,20306153,0.16508099
95,19194624,0.15604470
96,31555356,0.25653256
97,37544922,0.30522536
98,18332075,0.14903252
99,35621601,0.28958953
100,19527526,0.15875106
101,26264199,0.21351755
102,35757423,0.29069370
103,98358354,0.79961451
104,49175320,0.39977590
105,25806457,0.20979629
106,21369317,0.17372409
107,18592197,0.15114721
108,20267520,0.16476692
109,40604927,0.33010199
110,17624468,0.14327995
111,14701463,0.11951708
112,83886253,0.68196205
113,14743708,0.11986051
114,23982583,0.19496891
115,20443373,0.16619654
116,30602684,0.24878772
117,37329101,0.30347082
118,48038655,0.39053526
119,23165824,0.18832899
120,32328263,0.26281599
121,17849657,0.14511065
122,54746720,0.44506918
123,55274373,0.44935879
124,14687710,0.11940527
125,26200501,0.21299971
126,34470607,0.28023240
127,24779964,0.20145131
128,14924191,0.12132777
129,33347266,0.27110008
130,17286502,0.14053242
131,15091021,0.12268403
132,25004061,0.20327313
133,16813749,0.13668913
134,21587475,0.17549763
135,20848265,0.16948815
136,28291994,0.23000272
137,14124044,0.11482289
138,21069698,0.17128831
139,24284157,0.19742059
140,34003960,0.27643874
141,19795890,0.16093276
142,31301242,0.25446672
143,27878368,0.22664010
144,23163707,0.18831178
145,25867774,0.21029477
146,16902854,0.13741352
147,34348316,0.27923822
148,14136490,0.11492407
149,29793233,0.24220720
150,36284089,0.29497529
151,42016251,0.34157550
152,28678898,0.23314810
153,17035392,0.13849100
154,16158521,0.13136238
155,23788601,0.19339192
156,52255427,0.42481595
157,25475054,0.20710211
158,21799848,0.17722414
159,31583651,0.25676259
160,14705231,0.11954771
161,61191352,0.49746149
162,21890976,0.17796498
163,22302643,0.18131167
164,14495036,0.11783891
165,19216685,0.15622405
