# total_molecules: 123007215
bit_position,count,fraction
0,3287388,0.02672516
1,5869749,0.04771874
2,1010967,0.00821876
3,183659,0.00149308
4,1522109,0.01237414
5,443332,0.00360411
6,2034903,0.01654296
7,819574,0.00666281
8,55068,0.00044768
9,88053,0.00071584
10,602621,0.00489907
11,729402,0.00592975
12,2118273,0.01722072
13,5064288,0.04117066
14,2938311,0.02388731
15,261089,0.00212255
16,4955531,0.04028651
17,5503568,0.04474183
18,6320218,0.05138087
19,49603912,0.40326018
20,1877841,0.01526610
21,1544777,0.01255843
22,6145361,0.04995935
23,9238061,0.07510178
24,982779,0.00798960
25,15453170,0.12562816
26,6691603,0.05440009
27,356866,0.00290118
28,574258,0.00466849
29,612561,0.00497988
30,1590819,0.01293273
31,211350,0.00171819
32,3936229,0.03199998
33,1683938,0.01368975
34,11729807,0.09535869
35,4810480,0.03910730
36,229492,0.00186568
37,23123828,0.18798757
38,10446009,0.08492192
39,35661930,0.28991738
40,5970224,0.04853556
41,596779,0.00485158
42,7058639,0.05738394
43,535345,0.00435214
44,4342833,0.03530551
45,9072554,0.07375628
46,46665,0.00037937
47,1338661,0.01088278
48,9085,0.00007386
49,1801943,0.01464908
50,5667155,0.04607173
51,7391662,0.06009129
52,147567,0.00119966
53,3506370,0.02850540
54,4215131,0.03426735
55,5112166,0.04155989
56,537110,0.00436649
57,55541,0.00045153
58,5822474,0.04733441
59,712632,0.00579342
60,2262702,0.01839487
61,740933,0.00602349
62,599662,0.00487501
63,5212887,0.04237871
64,3027740,0.02461433
65,2010285,0.01634282
66,757493,0.00615812
67,764624,0.00621609
68,13668796,0.11112190
69,2067638,0.01680908
70,20822557,0.16927915
71,4933704,0.04010906
72,16947263,0.13777454
73,3918269,0.03185398
74,467239,0.00379847
75,522195,0.00424524
76,5078443,0.04128573
77,18655915,0.15166521
78,12832622,0.10432414
79,1302219,0.01058653
80,28108089,0.22850764
81,3388285,0.02754542
82,210789,0.00171363
83,1153995,0.00938152
84,260547,0.00211814
85,4357507,0.03542481
86,1147724,0.00933054
87,3113700,0.02531315
88,4339721,0.03528022
89,4420102,0.03593368
90,6551242,0.05325901
91,175160,0.00142398
92,95228715,0.77417178
93,161430,0.00131236
94,4357364,0.03542365
95,812039,0.00660156
96,3224625,0.02621493
97,982828,0.00799000
98,490809,0.00399008
99,608773,0.00494908
100,3783871,0.03076137
101,2288970,0.01860842
102,3067085,0.02493419
103,512822,0.00416904
104,331234,0.00269280
105,765827,0.00622587
106,3529124,0.02869038
107,3026774,0.02460648
