# total_molecules: 123007215
bit_position,count,fraction
0,26860281,0.21836346
1,2273565,0.01848318
2,984492,0.00800353
3,10643206,0.08652505
4,54919432,0.44647326
5,1534414,0.01247418
6,21743699,0.17676767
7,7327903,0.05957295
8,1111364,0.00903495
9,3635565,0.02955571
10,387415,0.00314953
11,2836575,0.02306023
12,1070742,0.00870471
13,6951741,0.05651490
14,4080959,0.03317658
15,85344075,0.69381357
16,668984,0.00543858
17,18336583,0.14906917
18,625377,0.00508407
19,1448265,0.01177382
20,1007797,0.00819299
21,1829166,0.01487040
22,8052418,0.06546297
23,73306613,0.59595377
24,2379187,0.01934185
25,2778864,0.02259107
26,8071159,0.06561533
27,29791585,0.24219380
28,9329330,0.07584376
29,14018583,0.11396553
30,10367903,0.08428695
31,541844,0.00440498
32,2366965,0.01924249
33,1928015,0.01567400
34,16397976,0.13330906
35,1748984,0.01421855
36,46508157,0.37809292
37,4592209,0.03733284
38,6789917,0.05519934
39,4582568,0.03725447
40,2045072,0.01662563
41,18364620,0.14929710
42,3114654,0.02532090
43,4388306,0.03567519
44,9667634,0.07859404
45,3320066,0.02699082
46,14389674,0.11698236
47,14364382,0.11677674
48,5089025,0.04137176
49,19786985,0.16086036
50,10313148,0.08384181
51,24756001,0.20125650
52,801802,0.00651833
53,392391,0.00318998
54,7943462,0.06457720
55,7973302,0.06481979
56,1434671,0.01166331
57,25988573,0.21127682
58,30199070,0.24550649
59,52650459,0.42802740
60,67858357,0.55166160
61,854089,0.00694341
62,4534008,0.03685969
63,20986055,0.17060833
64,4274873,0.03475303
65,2702062,0.02196670
66,438079,0.00356141
67,3069530,0.02495406
68,8919990,0.07251599
69,11321520,0.09203948
70,17342051,0.14098401
71,13195389,0.10727329
72,24735888,0.20109298
73,31936119,0.25962801
74,1318863,0.01072183
75,10338279,0.08404612
76,11902856,0.09676551
77,2237943,0.01819359
78,7056469,0.05736630
79,14721799,0.11968240
80,19146979,0.15565737
81,84710898,0.68866609
82,862269,0.00700991
83,21772325,0.17700039
84,24611345,0.20008050
85,45749824,0.37192797
86,54705582,0.44473474
87,2011809,0.01635521
88,2596320,0.02110705
89,25346770,0.20605921
90,488934,0.00397484
91,3678632,0.02990582
92,19978495,0.16241726
93,22540064,0.18324180
94,40122898,0.32618329
95,21223347,0.17253742
96,53262180,0.43300045
97,6746680,0.05484784
98,5507487,0.04477369
99,15644114,0.12718046
100,32382704,0.26325857
101,5276882,0.04289896
102,15913488,0.12937036
103,2464564,0.02003593
104,19611592,0.15943449
105,5908720,0.04803556
106,6087753,0.04949102
107,1483211,0.01205792
108,6428595,0.05226193
109,17726639,0.14411056
110,3591860,0.02920040
111,3156723,0.02566291
112,3604470,0.02930292
113,11351761,0.09228533
114,65545048,0.53285531
115,23752521,0.19309860
116,806597,0.00655731
117,87476677,0.71115078
118,21284127,0.17303153
119,3619054,0.02942148
120,24542617,0.19952177
121,17342769,0.14098985
122,1710574,0.01390629
123,12244604,0.09954379
124,11815945,0.09605896
125,60242646,0.48974888
126,1132435,0.00920625
127,10063276,0.08181045
128,17617511,0.14322340
129,8565372,0.06963309
130,819759,0.00666432
131,3074426,0.02499387
132,19135475,0.15556384
133,9592296,0.07798157
134,3725887,0.03028999
135,3360775,0.02732177
136,13242953,0.10765997
137,8492703,0.06904232
138,6275900,0.05102058
139,3840725,0.03122357
140,3793640,0.03084079
141,568909,0.00462501
142,2005945,0.01630754
143,1395219,0.01134258
144,4386325,0.03565909
145,10474757,0.08515563
146,1423533,0.01157276
147,8721422,0.07090171
148,28637153,0.23280873
149,9162683,0.07448899
150,19829397,0.16120515
151,3203030,0.02603937
152,1885430,0.01532780
153,9232702,0.07505822
154,23059351,0.18746340
155,29310099,0.23827951
156,9430110,0.07666306
157,68556379,0.55733624
158,1704076,0.01385346
159,1249115,0.01015481
160,1119837,0.00910383
161,3334909,0.02711149
162,16918103,0.13753749
163,3147837,0.02559067
164,1734814,0.01410335
165,1539392,0.01251465
166,21122203,0.17171516
167,13261753,0.10781281
168,9758314,0.07933123
169,2134818,0.01735523
170,1798322,0.01461965
171,6180751,0.05024706
172,10521876,0.08553869
173,700450,0.00569438
174,11296805,0.09183856
175,510931,0.00415367
176,13316747,0.10825989
177,6956530,0.05655384
178,6375221,0.05182802
179,2396468,0.01948234
180,835800,0.00679472
181,57187306,0.46491018
182,1403165,0.01140718
183,2091399,0.01700225
184,4564070,0.03710408
185,13562156,0.11025496
186,16468024,0.13387852
187,6866184,0.05581936
188,13213772,0.10742274
