# total_molecules: 82738803
bit_position,count,fraction
0,1019680,0.01232408
1,1603643,0.01938199
2,1689121,0.02041510
3,751239,0.00907965
4,1532779,0.01852552
5,526779,0.00636677
6,790877,0.00955872
7,1918386,0.02318605
8,890619,0.01076422
9,1134854,0.01371610
10,2531598,0.03059747
11,3505353,0.04236649
12,699828,0.00845828
13,850848,0.01028354
14,1200162,0.01450543
15,1469620,0.01776216
16,4866720,0.05882029
17,605576,0.00731913
18,963725,0.01164780
19,1252246,0.01513493
20,1067716,0.01290466
21,1198212,0.01448186
22,861592,0.01041340
23,5437578,0.06571981
24,1694704,0.02048258
25,6256884,0.07562212
26,1813567,0.02191918
27,1369810,0.01655584
28,1449942,0.01752433
29,753596,0.00910813
30,981739,0.01186552
31,4105996,0.04962600
32,951649,0.01150185
33,1858838,0.02246634
34,1504031,0.01817806
35,1005247,0.01214964
36,1537955,0.01858807
37,7661375,0.09259712
38,841654,0.01017242
39,2292773,0.02771098
40,3763424,0.04548560
41,740636,0.00895150
42,606696,0.00733267
43,713465,0.00862310
44,837391,0.01012090
45,1395326,0.01686423
46,972862,0.01175823
47,2152460,0.02601512
48,1391631,0.01681957
49,3010492,0.03638549
50,533874,0.00645252
51,1189895,0.01438134
52,60225302,0.72789670
53,829071,0.01002034
54,1572311,0.01900331
55,870510,0.01052118
56,2875263,0.03475108
57,2141134,0.02587823
58,896832,0.01083932
59,626975,0.00757776
60,1513786,0.01829596
61,643602,0.00777872
62,908185,0.01097653
63,1426541,0.01724150
64,676695,0.00817869
65,1542862,0.01864738
66,2332786,0.02819458
67,436196,0.00527196
68,1570882,0.01898604
69,1181870,0.01428435
70,856962,0.01035744
71,1120968,0.01354827
72,2423945,0.02929635
73,960487,0.01160866
74,760904,0.00919646
75,935111,0.01130196
76,769322,0.00929820
77,1093147,0.01321202
78,2298109,0.02777547
79,825775,0.00998050
80,1783842,0.02155992
81,2262409,0.02734399
82,2088961,0.02524766
83,3726105,0.04503455
84,809755,0.00978688
85,2362363,0.02855206
86,937286,0.01132825
87,41147604,0.49731930
88,10775016,0.13022930
89,1819299,0.02198846
90,1468107,0.01774388
91,1059546,0.01280591
92,1825145,0.02205912
93,10863702,0.13130117
94,775653,0.00937472
95,1257757,0.01520154
96,1885541,0.02278908
97,1286784,0.01555236
98,819492,0.00990457
99,673732,0.00814288
100,919075,0.01110815
101,1398111,0.01689789
102,2614032,0.03159379
103,7975916,0.09639874
104,2072270,0.02504593
105,670060,0.00809850
106,1104451,0.01334865
107,1201443,0.01452091
108,1169869,0.01413930
109,1206581,0.01458301
110,1359216,0.01642779
111,1218029,0.01472138
112,2736653,0.03307581
113,3686684,0.04455810
114,2355815,0.02847292
115,3021143,0.03651422
116,1983164,0.02396897
117,823692,0.00995533
118,1105745,0.01336429
119,2115946,0.02557380
120,1888114,0.02282018
121,1093306,0.01321395
122,921760,0.01114060
123,1308778,0.01581819
124,1392139,0.01682571
125,1261863,0.01525116
126,4655304,0.05626506
127,688869,0.00832583
128,910964,0.01101012
129,1666802,0.02014535
130,991885,0.01198815
131,1508353,0.01823030
132,758478,0.00916714
133,1047590,0.01266141
134,3002469,0.03628852
135,12720612,0.15374421
136,986831,0.01192706
137,2299297,0.02778983
138,712480,0.00861120
139,941535,0.01137961
