# total_molecules: 123007215
bit_i,bit_j,count,fraction,expected_fraction,pmi
976,1329,215895,0.00175514,0.00007346,4.578473
1186,1512,135878,0.00110463,0.00004647,4.571063
1814,1940,616772,0.00501411,0.00021096,4.570927
874,1716,326082,0.00265092,0.00011169,4.568908
17,258,83376,0.00067781,0.00002859,4.567389
376,1746,207689,0.00168843,0.00007126,4.566414
1188,1276,155737,0.00126608,0.00005348,4.565346
641,1924,184997,0.00150395,0.00006354,4.564963
364,1937,484314,0.00393728,0.00016642,4.564271
192,1716,946230,0.00769248,0.00032519,4.564085
1176,1686,539877,0.00438899,0.00018578,4.562221
174,990,159435,0.00129614,0.00005493,4.560487
272,462,107838,0.00087668,0.00003717,4.559907
342,1298,279976,0.00227609,0.00009651,4.559709
125,729,638180,0.00518815,0.00022018,4.558470
180,1687,355614,0.00289100,0.00012271,4.558245
1037,1381,239845,0.00194984,0.00008282,4.557212
470,649,852143,0.00692759,0.00029454,4.555802
1459,1572,293326,0.00238462,0.00010145,4.554894
339,1178,239053,0.00194341,0.00008305,4.548473
775,1619,535910,0.00435674,0.00018659,4.545336
779,1547,97068,0.00078912,0.00003381,4.544874
1373,1463,189806,0.00154305,0.00006646,4.537196
153,1548,63021,0.00051234,0.00002207,4.536660
815,1684,373881,0.00303950,0.00013099,4.536326
302,1301,97283,0.00079087,0.00003420,4.531356
666,1402,556130,0.00452112,0.00019574,4.529642
434,1346,111414,0.00090575,0.00003932,4.525603
148,469,330879,0.00268992,0.00011702,4.522703
991,1218,601487,0.00488985,0.00021274,4.522607
345,1205,1089318,0.00885572,0.00038544,4.522017
316,1355,166674,0.00135499,0.00005918,4.517108
172,1153,436179,0.00354596,0.00015489,4.516900
923,1037,138641,0.00112710,0.00004923,4.516825
1240,1962,232712,0.00189186,0.00008266,4.516498
825,1787,87760,0.00071345,0.00003118,4.516069
1356,1755,1110959,0.00903166,0.00039510,4.514709
1188,1667,154260,0.00125407,0.00005491,4.513378
784,1771,764124,0.00621203,0.00027219,4.512388
529,1477,319947,0.00260104,0.00011408,4.510929
677,1619,617452,0.00501964,0.00022054,4.508499
1339,1556,492915,0.00400720,0.00017610,4.508111
181,1023,48520,0.00039445,0.00001736,4.505934
899,1585,330478,0.00268666,0.00011829,4.505453
766,1157,1212235,0.00985499,0.00043418,4.504478
474,1805,235743,0.00191650,0.00008460,4.501679
869,1037,228570,0.00185818,0.00008205,4.501292
677,729,678749,0.00551796,0.00024374,4.500713
396,1872,110090,0.00089499,0.00003960,4.498469
985,1300,159100,0.00129342,0.00005722,4.498456
527,1175,746968,0.00607255,0.00026869,4.498280
1037,1600,161724,0.00131475,0.00005819,4.497915
954,1718,228616,0.00185856,0.00008232,4.496794
769,1814,676995,0.00550370,0.00024387,4.496225
768,1550,113033,0.00091891,0.00004075,4.494908
135,1116,212901,0.00173080,0.00007677,4.494787
105,529,219457,0.00178410,0.00007914,4.494717
906,1715,534039,0.00434153,0.00019261,4.494428
521,1684,266264,0.00216462,0.00009626,4.491089
18,1378,1665041,0.01353612,0.00060212,4.490625
330,1186,177944,0.00144661,0.00006440,4.489399
646,1674,90472,0.00073550,0.00003275,4.489206
742,1080,279758,0.00227432,0.00010145,4.486626
280,1091,324605,0.00263891,0.00011778,4.485831
215,863,172504,0.00140239,0.00006267,4.483949
1470,1982,284233,0.00231070,0.00010334,4.482886
1095,1253,158665,0.00128988,0.00005808,4.472994
550,915,432954,0.00351974,0.00015851,4.472829
643,1996,104844,0.00085234,0.00003838,4.472821
194,1095,307620,0.00250083,0.00011269,4.471988
1037,1977,414367,0.00336864,0.00015186,4.471389
66,1684,217824,0.00177082,0.00007984,4.471221
1180,1833,126094,0.00102509,0.00004624,4.470447
677,991,623722,0.00507061,0.00022885,4.469691
563,1563,1113617,0.00905327,0.00040874,4.469173
1619,1755,520659,0.00423275,0.00019114,4.468928
388,1201,61872,0.00050299,0.00002272,4.468524
168,1302,539797,0.00438834,0.00019830,4.467937
7,529,143003,0.00116256,0.00005255,4.467429
179,803,310117,0.00252113,0.00011413,4.465278
766,909,1668791,0.01356661,0.00061449,4.464535
719,1989,162013,0.00131710,0.00005974,4.462407
437,645,402915,0.00327554,0.00014860,4.462260
1428,1763,597453,0.00485706,0.00022049,4.461300
838,1963,4250568,0.03455544,0.00156880,4.461184
274,1406,128678,0.00104610,0.00004751,4.460583
248,1542,2371305,0.01927777,0.00087612,4.459669
494,1373,206070,0.00167527,0.00007620,4.458495
874,1933,149210,0.00121302,0.00005522,4.457243
362,1281,530772,0.00431497,0.00019646,4.457063
1596,1997,238206,0.00193652,0.00008825,4.455714
1323,1977,689149,0.00560251,0.00025568,4.453678
1091,1240,229611,0.00186665,0.00008521,4.453302
3,819,287384,0.00233632,0.00010680,4.451281
245,1174,179818,0.00146185,0.00006693,4.448997
923,1234,161379,0.00131195,0.00006011,4.447988
660,1793,93591,0.00076086,0.00003495,4.444072
1577,1914,289703,0.00235517,0.00010822,4.443853
1137,1642,107779,0.00087620,0.00004038,4.439601
1514,1863,227719,0.00185127,0.00008534,4.439162
309,1867,205808,0.00167314,0.00007714,4.438940
1891,1942,193598,0.00157388,0.00007261,4.437922
1717,1904,210435,0.00171075,0.00007894,4.437796
1298,1330,133581,0.00108596,0.00005011,4.437632
1551,1907,184740,0.00150186,0.00006947,4.434237
610,1323,712057,0.00578874,0.00026778,4.434113
909,1157,2216405,0.01801850,0.00083539,4.430888
280,518,170702,0.00138774,0.00006436,4.430390
1719,1785,384420,0.00312518,0.00014495,4.430342
422,1923,792833,0.00644542,0.00029906,4.429786
1898,1913,266909,0.00216986,0.00010070,4.429511
973,1891,197360,0.00160446,0.00007448,4.429115
891,979,92621,0.00075297,0.00003503,4.425881
1082,1517,370085,0.00300864,0.00013998,4.425829
1492,1769,146282,0.00118921,0.00005544,4.422878
134,1616,89658,0.00072888,0.00003402,4.421375
834,1461,263984,0.00214609,0.00010026,4.419836
239,609,719168,0.00584655,0.00027341,4.418444
1333,1545,89907,0.00073091,0.00003418,4.418333
1241,1684,161730,0.00131480,0.00006150,4.418015
1053,1832,424074,0.00344755,0.00016135,4.417273
720,1864,423802,0.00344534,0.00016125,4.417235
497,1511,420311,0.00341696,0.00015995,4.416994
1684,1861,314176,0.00255413,0.00011973,4.415018
91,343,297613,0.00241948,0.00011350,4.413954
476,1674,113768,0.00092489,0.00004340,4.413412
565,1189,83439,0.00067833,0.00003185,4.412678
1180,1975,243248,0.00197751,0.00009287,4.412366
874,1202,142931,0.00116197,0.00005458,4.411995
