# total_molecules: 82738803
bit_position,count,fraction
0,61028212,0.73760086
1,56393976,0.68159043
2,59806011,0.72282906
3,57579344,0.69591705
4,56535008,0.68329497
5,49422267,0.59732876
6,58379425,0.70558701
7,42651861,0.51550010
8,47122580,0.56953422
9,44744015,0.54078635
10,72292904,0.87374849
11,44728468,0.54059844
12,41214014,0.49812195
13,37032451,0.44758263
14,45642832,0.55164965
15,60776035,0.73455299
16,55740106,0.67368760
17,53089610,0.64165311
18,49954824,0.60376537
19,50817197,0.61418821
20,42534303,0.51407926
21,64968926,0.78522922
22,42434701,0.51287545
23,41725858,0.50430821
24,51115287,0.61779099
25,45037082,0.54432842
26,48065190,0.58092682
27,57006145,0.68898924
28,48422476,0.58524506
29,48941937,0.59152339
30,48555692,0.58685514
31,75746711,0.91549199
32,51560981,0.62317775
33,70079170,0.84699279
34,45378367,0.54845327
35,48104570,0.58140278
36,44896034,0.54262368
37,61544025,0.74383509
38,47525771,0.57440728
39,56602473,0.68411037
40,62185794,0.75159166
41,51882377,0.62706221
42,46039710,0.55644641
43,65163630,0.78758246
44,45976966,0.55568807
45,47488171,0.57395284
46,60564303,0.73199395
47,57875736,0.69949931
48,44463048,0.53739052
49,43018900,0.51993621
50,65119492,0.78704900
51,74465400,0.90000577
52,40765846,0.49270529
53,67691742,0.81813780
54,48362969,0.58452585
55,52765017,0.63773000
56,55132890,0.66634865
57,64324981,0.77744636
58,76998335,0.93061940
59,49425363,0.59736618
60,50230120,0.60709266
61,44960100,0.54339800
62,54833594,0.66273129
63,58974793,0.71278277
64,42954413,0.51915681
65,52954258,0.64001721
66,51123931,0.61789546
67,53508526,0.64671622
68,45446455,0.54927620
69,53638347,0.64828527
70,42631057,0.51524866
71,43961881,0.53133330
72,39510130,0.47752842
73,37305635,0.45088439
74,45547341,0.55049553
75,71990526,0.87009388
76,57715591,0.69756377
77,56587629,0.68393096
78,53523489,0.64689707
79,66277033,0.80103930
80,40081402,0.48443294
81,39032190,0.47175193
82,44891679,0.54257105
83,44072832,0.53267428
84,52642118,0.63624462
85,47379483,0.57263921
86,53881153,0.65121988
87,45324178,0.54779833
88,38215509,0.46188134
89,44686315,0.54008897
90,63974871,0.77321485
91,44365524,0.53621182
92,41805439,0.50527005
93,44267936,0.53503235
94,51657473,0.62434397
95,55249820,0.66776190
96,46294005,0.55951988
97,59789957,0.72263503
98,57447080,0.69431848
99,48426888,0.58529839
100,46454834,0.56146369
101,52514590,0.63470328
102,49895857,0.60305268
103,67532066,0.81620792
104,43120717,0.52116680
105,72429468,0.87539903
106,66914222,0.80874051
107,62240981,0.75225866
108,45019885,0.54412057
109,55402246,0.66960415
110,44611160,0.53918063
111,73966725,0.89397867
112,59484663,0.71894517
113,56934542,0.68812383
114,40670109,0.49154819
115,55309571,0.66848406
116,59940335,0.72445253
117,52386575,0.63315607
118,43111399,0.52105418
119,51773749,0.62574931
120,43241597,0.52262778
121,45193024,0.54621317
122,63920168,0.77255370
123,44984163,0.54368883
124,51557911,0.62314064
125,46507241,0.56209710
126,61144528,0.73900668
127,49413062,0.59721751
128,60971325,0.73691331
129,51929397,0.62763051
130,55367237,0.66918103
131,52970139,0.64020915
132,49055381,0.59289450
133,46994793,0.56798976
134,44972636,0.54354951
135,74358997,0.89871976
136,48160991,0.58208470
137,50650070,0.61216827
138,63982528,0.77330739
139,47215272,0.57065452
140,43586652,0.52679819
141,61579020,0.74425805
142,55135746,0.66638317
143,43302390,0.52336254
144,46803448,0.56567712
145,41510068,0.50170013
146,62989742,0.76130835
147,48930937,0.59139044
148,43427793,0.52487819
149,64558250,0.78026570
150,43923708,0.53087193
151,47335717,0.57211025
152,55343340,0.66889220
153,56910078,0.68782815
154,50950546,0.61579989
155,46526775,0.56233319
156,47828618,0.57806756
157,56662061,0.68483056
158,50708234,0.61287125
159,74002884,0.89441570
160,55510873,0.67091704
161,63000394,0.76143710
162,41141568,0.49724635
163,46596863,0.56318029
164,55271757,0.66802703
165,55593316,0.67191347
166,58128819,0.70255813
167,40926888,0.49465168
168,58935806,0.71231156
169,48285524,0.58358983
170,47811509,0.57786078
171,69959417,0.84554543
172,51686539,0.62469527
173,51517737,0.62265509
174,47306122,0.57175255
175,48173385,0.58223449
176,43013838,0.51987503
177,52344743,0.63265047
178,47058326,0.56875764
179,54554287,0.65935553
180,58404351,0.70588828
181,48549474,0.58677999
182,64446283,0.77891244
183,59360358,0.71744279
184,56215069,0.67942812
185,60960094,0.73677757
186,48591279,0.58728525
187,60806702,0.73492364
188,53981950,0.65243813
189,71552386,0.86479842
190,50454583,0.60980557
191,45885100,0.55457776
192,49143458,0.59395902
193,54567318,0.65951302
194,44341007,0.53591550
195,44031032,0.53216907
196,59993069,0.72508988
197,55194939,0.66709859
198,50948110,0.61577045
199,54710580,0.66124452
200,43874230,0.53027393
201,57037241,0.68936507
202,51992602,0.62839442
203,57215167,0.69151553
204,44616670,0.53924723
205,61764286,0.74649721
206,45436486,0.54915571
207,54761020,0.66185415
208,65321525,0.78949081
209,51371566,0.62088844
210,52204245,0.63095238
211,54444116,0.65802397
212,53743876,0.64956071
213,53741991,0.64953793
214,68389602,0.82657229
215,71263482,0.86130666
216,41038243,0.49599754
217,57313248,0.69270096
218,42501527,0.51368313
219,64380715,0.77811997
220,50660890,0.61229904
221,58354454,0.70528521
222,53430808,0.64577690
223,48200301,0.58255981
224,51200846,0.61882508
225,54758269,0.66182090
226,52900457,0.63936696
227,43219775,0.52236404
228,51092097,0.61751071
